experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAUKPR,98151,2020-10-27 16:44:11.401000-04:00,,2020-11-04 12:21:21.960000-05:00,2020-11-04 12:23:14.842000-05:00,1,,,,,,Treatment 1,88.864,29.6163333333333,3.0,3.0,,,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,9125855
PSAUKPR,98153,2020-10-27 16:44:11.401000-04:00,,2020-11-09 12:38:24.246000-05:00,2020-11-09 12:45:43.713000-05:00,2,,,,,,Treatment 2,779.13,63.6795,6.0,10.0,1.0,1.0,12.0,12.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,2.0,,,,,,9387372
PSAUKPR,98351,2020-10-27 16:44:11.401000-04:00,,2020-11-09 12:39:42.776000-05:00,2020-11-09 12:41:53.393000-05:00,1,,,,,,Treatment 2,156.818,26.133,3.0,6.0,,,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,,,,,9387607
PSAUKPR,98492,2020-10-27 16:44:11.401000-04:00,,2020-11-09 12:46:33.538000-05:00,2020-11-09 12:51:27.008000-05:00,1,,,,,,Treatment 1,253.109,54.339,4.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,,,,,,9388890
PSAUKPR,98536,2020-10-27 16:44:11.401000-04:00,,2020-11-04 12:38:43.313000-05:00,2020-11-09 12:47:25.716000-05:00,2,,,,,,Treatment 1,432478.328,48042.1534444444,9.0,6.0,3.0,3.0,9.0,9.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,2.0,,,,,,9128947
PSAUKPR,98601,2020-10-27 16:44:11.401000-04:00,,2020-11-04 12:27:25.235000-05:00,2020-11-04 12:31:15.503000-05:00,1,,,,,,Treatment 2,416.39,26.8498,5.0,8.0,1.0,1.0,10.0,10.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,,,,,,9126855
PSAUKPR,98603,2020-10-27 16:44:11.401000-04:00,,2020-11-09 12:32:24.118000-05:00,2020-11-09 12:35:16.863000-05:00,1,,,,,,Treatment 2,286.598,22.8111666666667,6.0,10.0,1.0,1.0,12.0,12.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,,,,,,9386190
PSAUKPR,122218,2020-05-08 17:30:00-04:00,2020-05-10 17:32:00-04:00,2020-05-08 17:59:40.318000-04:00,2020-05-08 18:14:45.866000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3053650
PSAUKPR,122482,2020-05-08 17:30:00-04:00,2020-05-10 17:32:00-04:00,2020-05-08 23:13:06.975000-04:00,2020-05-09 00:04:09.573000-04:00,1,,,,,,Treatment 2,5140.494,218.577590909091,14.0,13.0,3.0,3.0,22.0,22.0,0.0,0.0,24.0,11.0,0.0,0.0,0.0,1.0,,,,,,3058378
PSAUKPR,125059,2020-05-13 11:30:00-04:00,,2020-05-13 13:26:02.554000-04:00,2020-05-13 13:29:31.127000-04:00,1,,,,,,Treatment 2,305.776,50.9553333333333,3.0,6.0,,,6.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,,,,,3230769
