experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAUKPR,312025,5,5,26,26,373,18.004,19.851,0.8621794871794872,1.1528150134048256,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,350620,3,3,6,5,37,40.348,41.922,0.8461538461538461,1.1621621621621623,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,202488,2,2,31,28,426,18.617,20.8315,0.8254847645429363,1.1830985915492958,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,354787,2,0,3,1,4,36.601,73.346,0.5,1.75,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,193088,2,1,25,13,274,33.2435,43.763,0.6609442060085837,1.3832116788321167,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,130314,3,3,42,41,591,20.851,21.398,0.9054325955734407,1.0812182741116751,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,326395,3,2,25,8,177,14.631,16.339,0.8727272727272727,1.2824858757062148,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,372624,0,0,0,0,0,,,,,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,368504,2,2,10,9,163,13.123,14.777,0.7655172413793103,1.392638036809816,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
PSAUKPR,326883,2,2,9,7,65,31.701,54.04,0.5555555555555556,1.476923076923077,9434,2020-03-16 15:44:55.808000-04:00,49,6,48,22.7891156462585,85.0746268656716,29.8469387755102,83.3333333333333,8560,21.0525,18.316,0.8085018000553863,1.2384345794392524,117745,2020-03-16 12:41:54.254000-04:00,260.0,California,No,None
