experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAUTWT,98151,,,,,assignment_started,2020-11-04 12:32:20.042000-05:00,410290629
PSAUTWT,98151,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_started,2020-11-04 12:32:20.392000-05:00,410290631
PSAUTWT,98151,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,wrong_response,2020-11-04 12:32:31.818000-05:00,410292110
PSAUTWT,98151,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_finished,2020-11-04 12:32:31.823000-05:00,410292224
PSAUTWT,98151,,,,Multiplying by multiples of 10 3.NBT.A.3 EX,continue_selected,2020-11-04 12:32:32.622000-05:00,410292226
PSAUTWT,98151,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,problem_started,2020-11-04 12:32:32.952000-05:00,410292229
PSAUTWT,98151,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,correct_response,2020-11-04 12:32:40.825000-05:00,410293217
PSAUTWT,98151,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,problem_finished,2020-11-04 12:32:40.828000-05:00,410293415
PSAUTWT,98151,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,continue_selected,2020-11-04 12:32:41.848000-05:00,410293416
PSAUTWT,98151,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_started,2020-11-04 12:32:42.380000-05:00,410293418
PSAUTWT,98151,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],correct_response,2020-11-04 12:32:46.681000-05:00,410293986
PSAUTWT,98151,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_finished,2020-11-04 12:32:46.684000-05:00,410294270
PSAUTWT,98151,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],continue_selected,2020-11-04 12:32:48.341000-05:00,410294271
PSAUTWT,98151,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_started,2020-11-04 12:32:48.466000-05:00,410294272
PSAUTWT,98151,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],correct_response,2020-11-04 12:32:52.844000-05:00,410294803
PSAUTWT,98151,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_finished,2020-11-04 12:32:52.848000-05:00,410294950
PSAUTWT,98151,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],continue_selected,2020-11-04 12:32:53.818000-05:00,410294952
PSAUTWT,98151,PRA4QPC,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_started,2020-11-04 12:32:54.082000-05:00,410294953
PSAUTWT,98151,PRA4QPC,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],correct_response,2020-11-04 12:33:26.652000-05:00,410298990
PSAUTWT,98151,PRA4QPC,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_finished,2020-11-04 12:33:26.655000-05:00,410299003
PSAUTWT,98151,,,,Multiplying by multiples of 10 3.NBT.A.3 EX,continue_selected,2020-11-04 12:33:28.383000-05:00,410299215
PSAUTWT,98151,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_started,2020-11-04 12:33:28.536000-05:00,410299216
PSAUTWT,98151,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,wrong_response,2020-11-04 12:33:38.777000-05:00,410300538
PSAUTWT,98151,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_finished,2020-11-04 12:33:38.780000-05:00,410300637
PSAUTWT,98151,,,,,assignment_finished,2020-11-04 12:33:38.844000-05:00,410300639
PSAUTWT,98153,,,,,assignment_started,2020-11-09 12:53:11.710000-05:00,421766281
PSAUTWT,98153,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_started,2020-11-09 12:53:12.130000-05:00,421766283
PSAUTWT,98153,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,wrong_response,2020-11-09 12:53:18.254000-05:00,421767057
PSAUTWT,98153,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_finished,2020-11-09 12:53:18.258000-05:00,421767268
PSAUTWT,98153,,,,Multiplying by multiples of 10 3.NBT.A.3 EX,continue_selected,2020-11-09 12:53:19.239000-05:00,421767269
PSAUTWT,98153,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],problem_started,2020-11-09 12:53:19.919000-05:00,421767274
PSAUTWT,98153,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],correct_response,2020-11-09 12:53:25.825000-05:00,421767900
PSAUTWT,98153,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],problem_finished,2020-11-09 12:53:25.829000-05:00,421768090
PSAUTWT,98153,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],continue_selected,2020-11-09 12:53:27.541000-05:00,421768091
PSAUTWT,98153,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],problem_started,2020-11-09 12:53:27.665000-05:00,421768092
PSAUTWT,98153,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],correct_response,2020-11-09 12:53:32.507000-05:00,421768618
PSAUTWT,98153,PRA4QPB,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control/Randomizer/Skill Builder 2 [control1],problem_finished,2020-11-09 12:53:32.510000-05:00,421768788
PSAUTWT,98153,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control,continue_selected,2020-11-09 12:53:33.831000-05:00,421768791
PSAUTWT,98153,PRA547E,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control,problem_started,2020-11-09 12:53:33.968000-05:00,421768792
PSAUTWT,98153,PRA547E,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control,wrong_response,2020-11-09 12:53:36.329000-05:00,421769064
PSAUTWT,98153,PRA547E,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Control,problem_finished,2020-11-09 12:53:36.331000-05:00,421769221
PSAUTWT,98153,,,,Multiplying by multiples of 10 3.NBT.A.3 EX,continue_selected,2020-11-09 12:53:37.505000-05:00,421769224
PSAUTWT,98153,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_started,2020-11-09 12:53:37.620000-05:00,421769225
PSAUTWT,98153,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,wrong_response,2020-11-09 12:53:41.161000-05:00,421769676
PSAUTWT,98153,PRA4QQY,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_finished,2020-11-09 12:53:41.164000-05:00,421769811
PSAUTWT,98153,,,,,assignment_finished,2020-11-09 12:53:41.226000-05:00,421769813
PSAUTWT,98351,,,,,assignment_started,2020-11-09 12:52:18.179000-05:00,421759941
PSAUTWT,98351,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_started,2020-11-09 12:52:18.641000-05:00,421759943
PSAUTWT,98351,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,wrong_response,2020-11-09 12:52:36.871000-05:00,421762063
PSAUTWT,98351,PRA4QQX,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX,problem_finished,2020-11-09 12:52:36.876000-05:00,421763187
PSAUTWT,98351,,,,Multiplying by multiples of 10 3.NBT.A.3 EX,continue_selected,2020-11-09 12:52:57.501000-05:00,421764601
PSAUTWT,98351,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,problem_started,2020-11-09 12:52:57.843000-05:00,421764604
PSAUTWT,98351,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,correct_response,2020-11-09 12:53:11.600000-05:00,421766176
PSAUTWT,98351,PRA4QJZ,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,problem_finished,2020-11-09 12:53:11.605000-05:00,421766447
PSAUTWT,98351,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment,continue_selected,2020-11-09 12:53:13.189000-05:00,421766448
PSAUTWT,98351,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_started,2020-11-09 12:53:13.570000-05:00,421766450
PSAUTWT,98351,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],correct_response,2020-11-09 12:53:22.783000-05:00,421767532
PSAUTWT,98351,PRA4QPA,1.0,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],problem_finished,2020-11-09 12:53:22.787000-05:00,421767791
PSAUTWT,98351,,,,Multiplying by multiples of 10 3.NBT.A.3 EX/Exp. v. Control/Experiment/Standard Practice [treatment1],continue_selected,2020-11-09 12:53:24.964000-05:00,421767792
