experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAUTWU,28951,,,,,assignment_started,2021-01-27 13:23:53.524000-05:00,566992412
PSAUTWU,28951,PRA4PJD,1.0,,Understanding fractions 3.NF.A.1 EX,problem_started,2021-01-27 13:23:54.058000-05:00,566992414
PSAUTWU,28951,PRA4PJD,1.0,,Understanding fractions 3.NF.A.1 EX,correct_response,2021-01-27 13:24:19.262000-05:00,566994551
PSAUTWU,28951,PRA4PJD,1.0,,Understanding fractions 3.NF.A.1 EX,problem_finished,2021-01-27 13:24:19.271000-05:00,566994677
PSAUTWU,28951,,,,Understanding fractions 3.NF.A.1 EX,continue_selected,2021-01-27 13:24:20.676000-05:00,566994678
PSAUTWU,28951,PRA4ZB7,1.0,,Understanding fractions 3.NF.A.1 EX,problem_started,2021-01-27 13:24:20.806000-05:00,566994679
PSAUTWU,28951,PRA4ZB7,1.0,,Understanding fractions 3.NF.A.1 EX,correct_response,2021-01-27 13:24:28.357000-05:00,566995240
PSAUTWU,28951,PRA4ZB7,1.0,,Understanding fractions 3.NF.A.1 EX,problem_finished,2021-01-27 13:24:28.362000-05:00,566995498
PSAUTWU,28951,,,,Understanding fractions 3.NF.A.1 EX,continue_selected,2021-01-27 13:24:30.386000-05:00,566995499
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,problem_started,2021-01-27 13:24:31.076000-05:00,566995501
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,wrong_response,2021-01-27 13:24:56.186000-05:00,566997553
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,wrong_response,2021-01-27 13:25:07.649000-05:00,566999275
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,wrong_response,2021-01-27 13:25:14.358000-05:00,566999276
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,correct_response,2021-01-27 13:25:20.694000-05:00,566999854
PSAUTWU,28951,PRA3WBV,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,problem_finished,2021-01-27 13:25:20.700000-05:00,566999855
PSAUTWU,28951,,,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,continue_selected,2021-01-27 13:25:23.179000-05:00,566999856
PSAUTWU,28951,PRA3WAU,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,problem_started,2021-01-27 13:25:23.279000-05:00,566999857
PSAUTWU,28951,PRA3WAU,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,correct_response,2021-01-27 13:25:45.587000-05:00,567001792
PSAUTWU,28951,PRA3WAU,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,problem_finished,2021-01-27 13:25:45.592000-05:00,567001920
PSAUTWU,28951,,,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,continue_selected,2021-01-27 13:25:46.767000-05:00,567001921
PSAUTWU,28951,PRA3V9E,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,problem_started,2021-01-27 13:25:46.863000-05:00,567001922
PSAUTWU,28951,PRA3V9E,1.0,,Understanding fractions 3.NF.A.1 EX/Base Skill Builder,correct_response,2021-01-27 13:26:12.155000-05:00,567004085
