experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAV89B,8417,2021-02-22 00:58:46.266000-05:00,2021-02-25 01:00:00-05:00,2021-02-24 18:26:14.447000-05:00,2021-02-24 18:30:27.993000-05:00,1,,,,,,Control,246.779,82.2286666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,13892402
PSAV89B,10408,2020-11-08 15:03:00-05:00,,2020-12-10 12:31:34.886000-05:00,,1,,,,,,Treatment 2,12.809,12.789,2.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,11055272
PSAV89B,16495,2020-11-08 15:03:00-05:00,,2020-11-12 09:55:48.007000-05:00,,2,,,,,,Treatment 1,1905986.64,317627.083666667,6.0,4.0,1.0,,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,9605597
PSAV89B,29145,2020-09-14 08:16:00-04:00,,2020-09-16 09:47:49.041000-04:00,,4,,,,,,Treatment 1,212519.062,8283.21181818182,12.0,4.0,2.0,2.0,6.0,16.0,10.0,18.0,0.0,0.0,0.0,0.0,7.0,3.0,,,,,,5528338
PSAV89B,51057,2020-07-15 11:00:00-04:00,2020-07-15 17:00:00-04:00,2020-07-16 12:20:26.278000-04:00,,1,,,,,,Treatment 1,404.95,87.9093333333333,3.0,1.0,0.0,0.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,3960851
PSAV89B,64318,2020-05-06 10:00:00-04:00,2020-05-07 02:59:00-04:00,2020-05-06 12:36:26.016000-04:00,2020-05-06 12:45:33.393000-04:00,1,,,,,,Treatment 2,527.35,51.286,8.0,5.0,1.0,,8.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2923032
PSAV89B,64330,2020-05-06 10:00:00-04:00,2020-05-07 02:59:00-04:00,2020-05-06 15:13:22.382000-04:00,2020-05-06 15:45:50.279000-04:00,1,,,,,,Treatment 2,1937.682,265.698333333333,6.0,5.0,1.0,,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2939034
PSAV89B,64347,2020-05-06 10:00:00-04:00,2020-05-07 02:59:00-04:00,2020-05-06 14:27:22.729000-04:00,2020-05-06 14:39:15.803000-04:00,1,,,,,,Treatment 2,709.052,177.26025,4.0,4.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2935209
PSAV89B,64350,2020-05-06 10:00:00-04:00,2020-05-07 02:59:00-04:00,2020-05-06 11:56:24.558000-04:00,,1,,,,,,Treatment 1,1206.969,78.4013333333333,10.0,3.0,2.0,2.0,3.0,11.0,8.0,16.0,0.0,0.0,0.0,0.0,6.0,1.0,,,,,,2918225
PSAV89B,70224,2021-09-10 13:17:11.577000-04:00,2021-09-17 00:00:00-04:00,2021-09-15 08:51:42.643000-04:00,,1,,,,,,Treatment 2,893.726,124.070166666667,6.0,4.0,1.0,,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,17210420
