experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAV89B,8417,PRAQ6WF,1,,Control,2021-02-24 18:26:15.960000-05:00,2021-02-24 18:27:21.148000-05:00,1,65.188,65.13,18 1/60,True,1.0,True,1,1,0,0,0,False,False,False,105505063
PSAV89B,8417,PRAQ6W4,1,,Control,2021-02-24 18:27:24.089000-05:00,2021-02-24 18:29:25.917000-05:00,1,121.828,121.799,26/27,True,1.0,True,1,1,0,0,0,False,False,False,105505306
PSAV89B,8417,PRAQ6YD,1,,Control,2021-02-24 18:29:28.069000-05:00,2021-02-24 18:30:27.832000-05:00,1,59.763,59.757,29/40,True,1.0,True,1,1,0,0,0,False,False,False,105505779
PSAV89B,10408,PRAUWNR,1,,Treatment 2,2020-12-10 12:31:36.176000-05:00,2020-12-10 12:31:48.985000-05:00,1,12.809,12.789,I can definitely solve these problems (100%),True,1.0,True,1,0,0,0,0,False,False,False,84043590
PSAV89B,10408,PRAQ6WH,1,,Treatment 2,2020-12-10 12:31:50.801000-05:00,,1,,,,,,,0,1,0,0,0,False,False,False,84043853
PSAV89B,16495,PRAUWPQ,1,,Treatment 1,2020-11-12 09:55:50.674000-05:00,2020-11-12 09:55:56.715000-05:00,1,6.041,6.03,Ok,True,1.0,True,1,0,0,0,0,False,False,False,73324796
PSAV89B,16495,PRAQ6WF,1,,Treatment 1,2020-11-12 09:56:08.820000-05:00,2020-11-12 10:03:09.887000-05:00,1,421.067,196.965,15 3/3,False,0.333333333333333,True,3,1,0,0,0,False,False,False,73325100
PSAV89B,16495,PRAQ6W4,1,,Treatment 1,2020-11-12 10:03:12.978000-05:00,2020-12-04 11:17:34.094000-05:00,2,1905261.116,1905261.104,26/27,True,1.0,True,1,1,0,0,0,False,False,False,73332878
PSAV89B,16495,PRAQ6YD,1,,Treatment 1,2020-12-04 11:17:37.230000-05:00,2020-12-04 11:19:29.452000-05:00,1,112.222,112.216,29/40,True,1.0,True,1,1,0,0,0,False,False,False,81519785
PSAV89B,16495,PRAUWND,1,,Treatment 1,2020-12-04 11:19:32.741000-05:00,2020-12-04 11:19:52.965000-05:00,1,20.224,20.217,Ok,True,1.0,True,1,1,0,0,0,False,False,False,81521798
PSAV89B,16495,PRAQ6WG,1,,Treatment 1,2020-12-04 11:19:55.824000-05:00,,1,165.97,165.97,912/35,False,0.666666666666667,True,1,1,0,0,0,False,False,False,81522206
PSAV89B,29145,PRAUWPQ,1,,Treatment 1,2020-09-16 09:47:50.173000-04:00,2020-09-16 09:48:07.944000-04:00,1,17.771,17.761,Ok,True,1.0,True,1,0,0,0,0,False,False,False,43385750
PSAV89B,29145,PRAQ6WF,1,,Treatment 1,2020-09-16 09:48:10.699000-04:00,2020-09-16 09:57:56.029000-04:00,1,585.33,547.384,18 1/60,False,0.0,False,1,1,3,0,0,False,False,True,43386203
PSAV89B,29145,PRAQ6W4,1,,Treatment 1,2020-09-16 09:57:56.524000-04:00,2020-09-16 10:14:21.596000-04:00,1,985.072,337.614,26/27,False,0.0,False,1,1,2,0,0,False,False,True,43400234
