experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAV89B,8417,,,,,assignment_started,2021-02-24 18:26:14.447000-05:00,620438654
PSAV89B,8417,PRAQ6WF,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_started,2021-02-24 18:26:15.960000-05:00,620438658
PSAV89B,8417,PRAQ6WF,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,correct_response,2021-02-24 18:27:21.090000-05:00,620440044
PSAV89B,8417,PRAQ6WF,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_finished,2021-02-24 18:27:21.148000-05:00,620440088
PSAV89B,8417,,,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,continue_selected,2021-02-24 18:27:23.889000-05:00,620440089
PSAV89B,8417,PRAQ6W4,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_started,2021-02-24 18:27:24.089000-05:00,620440090
PSAV89B,8417,PRAQ6W4,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,correct_response,2021-02-24 18:29:25.888000-05:00,620442811
PSAV89B,8417,PRAQ6W4,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_finished,2021-02-24 18:29:25.917000-05:00,620442871
PSAV89B,8417,,,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,continue_selected,2021-02-24 18:29:27.934000-05:00,620442872
PSAV89B,8417,PRAQ6YD,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_started,2021-02-24 18:29:28.069000-05:00,620442873
PSAV89B,8417,PRAQ6YD,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,correct_response,2021-02-24 18:30:27.826000-05:00,620444062
PSAV89B,8417,PRAQ6YD,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/BAU Control [control]/B A-B-C,problem_finished,2021-02-24 18:30:27.832000-05:00,620444092
PSAV89B,8417,,,,,assignment_finished,2021-02-24 18:30:27.993000-05:00,620444096
PSAV89B,10408,,,,,assignment_started,2020-12-10 12:31:34.886000-05:00,494693184
PSAV89B,10408,PRAUWNR,1.0,,Dividing Mixed Numbers 6.NS.A.1 EX/Experiment [treatment2]/E C-A-B,problem_started,2020-12-10 12:31:36.176000-05:00,494693188
