experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAV89B,64330,44,27,18,16,411,86.53,120.793,0.5287009063444109,1.8029197080291972,5135,2019-10-22 17:10:04.683000-04:00,9,22,0,61.6161616161616,53.2786885245902,0.0,0.0,631,90.592,56.048,0.5039619651347068,1.9318541996830427,10269,2019-07-03 18:11:06.812000-04:00,141.0,Arizona,Yes,None
PSAV89B,64350,49,28,11,11,288,55.131,69.7095,0.5301204819277109,1.4618055555555556,5135,2019-10-22 17:10:04.683000-04:00,9,22,0,61.6161616161616,53.2786885245902,0.0,0.0,631,90.592,56.048,0.5039619651347068,1.9318541996830427,10269,2019-07-03 18:11:06.812000-04:00,141.0,Arizona,Yes,None
PSAV89B,64318,33,20,19,15,364,71.958,82.6625,0.6334519572953736,1.4038461538461537,5135,2019-10-22 17:10:04.683000-04:00,9,22,0,61.6161616161616,53.2786885245902,0.0,0.0,631,90.592,56.048,0.5039619651347068,1.9318541996830427,10269,2019-07-03 18:11:06.812000-04:00,141.0,Arizona,Yes,None
PSAV89B,64347,46,32,23,21,442,66.992,78.051,0.5880681818181818,1.4773755656108598,5135,2019-10-22 17:10:04.683000-04:00,9,22,0,61.6161616161616,53.2786885245902,0.0,0.0,631,90.592,56.048,0.5039619651347068,1.9318541996830427,10269,2019-07-03 18:11:06.812000-04:00,141.0,Arizona,Yes,None
PSAV89B,350293,20,18,1,1,94,51.49,52.711,0.8152173913043478,1.2127659574468086,20018,2020-04-07 17:02:06.050000-04:00,26,34,3,48.7556561085973,80.5104408352668,44.8717948717949,74.2857142857143,2566,41.2535,28.5485,0.6208267090620032,1.5946999220576774,231466,2020-04-07 17:01:31.695000-04:00,284.0,California,Yes,None
PSAV89B,349613,20,18,1,1,155,28.786,39.889,0.5228758169934641,1.3806451612903226,20018,2020-04-07 17:02:06.050000-04:00,26,34,3,48.7556561085973,80.5104408352668,44.8717948717949,74.2857142857143,2566,41.2535,28.5485,0.6208267090620032,1.5946999220576774,231466,2020-04-07 17:01:31.695000-04:00,284.0,California,Yes,None
PSAV89B,394355,7,7,6,6,119,24.375,30.933,0.6410256410256411,1.6218487394957983,28548,2020-06-09 19:05:42.134000-04:00,3,7,6,52.3809523809524,90.9090909090909,38.8888888888889,85.7142857142857,139,30.298,24.375,0.6496350364963503,1.618705035971223,11574,2019-08-07 23:01:16.704000-04:00,235.0,California,Yes,None
PSAV89B,219808,6,5,8,6,70,24.064,24.66,0.7619047619047619,1.3571428571428572,29480,2020-07-11 16:10:53.338000-04:00,7,0,1,0.0,0.0,14.2857142857143,100.0,3,45.957,45.932,1.0,1.0,9993,2019-06-13 11:44:10.693000-04:00,112.0,Arizona,Yes,Suburb: Large
PSAV89B,51057,6,5,11,8,89,24.629,25.672,0.5844155844155844,1.4719101123595506,29480,2020-07-11 16:10:53.338000-04:00,7,0,1,0.0,0.0,14.2857142857143,100.0,3,45.957,45.932,1.0,1.0,9993,2019-06-13 11:44:10.693000-04:00,112.0,Arizona,Yes,Suburb: Large
PSAV89B,276251,6,6,7,7,64,28.5335,38.8155,0.7241379310344828,1.328125,29480,2020-07-11 16:10:53.338000-04:00,7,0,1,0.0,0.0,14.2857142857143,100.0,3,45.957,45.932,1.0,1.0,9993,2019-06-13 11:44:10.693000-04:00,112.0,Arizona,Yes,Suburb: Large
PSAV89B,226073,6,4,8,7,80,27.5245,28.6785,0.6666666666666666,1.35,29480,2020-07-11 16:10:53.338000-04:00,7,0,1,0.0,0.0,14.2857142857143,100.0,3,45.957,45.932,1.0,1.0,9993,2019-06-13 11:44:10.693000-04:00,112.0,Arizona,Yes,Suburb: Large
PSAV89B,619116,1,1,32,30,325,60.948,67.431,0.8207171314741036,1.2215384615384615,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,619209,4,2,31,27,351,102.793,114.667,0.8250950570342205,1.1737891737891737,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,617888,10,8,34,33,369,34.194,36.608,0.903010033444816,1.1300813008130082,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,627669,3,3,31,29,417,43.317,47.641,0.8476190476190476,1.2062350119904077,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,890578,2,2,18,13,224,53.9065,59.659,0.8353658536585366,1.2053571428571428,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,628290,2,2,29,26,324,33.6335,37.2235,0.8278688524590164,1.2006172839506173,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,618858,5,4,33,28,363,31.247,33.225,0.921146953405018,1.0771349862258952,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,632935,3,2,33,26,466,83.422,89.747,0.8731563421828908,1.1094420600858368,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
PSAV89B,601367,3,2,32,28,344,48.1995,54.5265,0.8957528957528957,1.1162790697674418,32841,2020-08-06 17:43:21.214000-04:00,24,8,45,38.5416666666667,78.3783783783784,64.7222222222222,90.5579399141631,7850,56.809,52.671,0.8899780294067939,1.1231847133757962,152549,2020-03-26 12:43:21.150000-04:00,2340.0,Washington,No,None
