experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAVDFE,9841,2020-05-28 06:10:00-04:00,2020-05-28 23:59:00-04:00,2020-05-28 17:08:39.710000-04:00,2020-05-28 17:39:04.262000-04:00,2,2.0,0.0,589.113,294.5545,1.0,Treatment 2,551.213,54.0504444444444,9.0,5.0,2.0,2.0,9.0,10.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,58.091,19.362,1.0,3682066
PSAVDFE,10408,2020-11-02 08:38:59.725000-05:00,,2020-11-02 12:35:30.396000-05:00,,2,2.0,0.0,155.581,77.7765,1.0,Treatment 1,2419398.71,2419398.71,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,8977403
PSAVDFE,16495,2020-11-02 08:38:59.722000-05:00,,2020-11-02 09:30:34.193000-05:00,,4,2.0,0.0,338.866,169.423,1.0,Treatment 3,2419974.473,206.052,1.0,0.0,,,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,8947372
PSAVDFE,52942,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:41:53.142000-04:00,,1,2.0,0.0,882.881,441.4235,1.0,Treatment 1,1640.68,1621.066,1.0,0.0,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,3773339
PSAVDFE,52944,2020-06-02 21:08:07.854000-04:00,,2020-06-03 07:36:56.552000-04:00,2020-06-03 08:57:19.904000-04:00,3,2.0,2.0,998.907,499.436,2.0,Not Assigned,,,,,,,,,,,,,,,,,3.0,3.0,125.648,41.8726666666667,1.0,3772180
PSAVDFE,52945,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:33:36.551000-04:00,,1,2.0,1.0,880.263,440.129,1.0,Treatment 1,2292.804,385.488,5.0,0.0,0.0,0.0,3.0,13.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,3773060
PSAVDFE,52946,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:31:30.782000-04:00,2020-06-03 09:05:10.087000-04:00,1,2.0,0.0,384.482,192.2205,1.0,Treatment 1,1099.043,63.19675,4.0,3.0,1.0,1.0,4.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,70.685,23.551,1.0,3772991
PSAVDFE,52947,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:38:37.283000-04:00,,1,2.0,0.0,823.251,411.597,1.0,Treatment 2,1620.807,706.379,3.0,2.0,,,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,,,,,,3773223
PSAVDFE,52948,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:41:11.517000-04:00,,1,2.0,0.0,1323.387,661.6885,1.0,Treatment 3,866.67,839.522,2.0,0.0,,,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,3773309
PSAVDFE,52949,2020-06-02 21:08:07.854000-04:00,,2020-06-03 08:18:00.140000-04:00,2020-06-03 09:11:39.179000-04:00,3,2.0,2.0,596.933,298.456,1.0,Not Assigned,,,,,,,,,,,,,,,,,3.0,2.0,1331.56,440.598333333333,2.0,3773218
