experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAVDFE,9841,PRA59FA,1,,Nonexperimental,2020-05-28 17:08:41.385000-04:00,2020-05-28 17:18:34.237000-04:00,2,592.852,592.849,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,29477782
PSAVDFE,9841,PRA588M,1,,Pretest,2020-05-28 17:18:40.306000-04:00,2020-05-28 17:26:43.783000-04:00,1,483.477,483.475,3/4,False,0.0,True,1,1,0,0,0,False,False,False,29480006
PSAVDFE,9841,PRA589C,1,,Pretest,2020-05-28 17:26:47.199000-04:00,2020-05-28 17:28:32.835000-04:00,1,105.636,105.634,2/5,False,0.0,True,1,1,0,0,0,False,False,False,29481809
PSAVDFE,9841,PRA7ZCT,1,,Unknown,2020-05-28 17:28:34.736000-04:00,2020-05-28 17:28:39.356000-04:00,1,4.62,4.618,Ok,False,0.0,True,1,0,0,0,0,False,False,False,29482243
PSAVDFE,9841,PRA5887,1,,Treatment 2,2020-05-28 17:28:41.465000-04:00,2020-05-28 17:30:30.877000-04:00,1,109.412,79.088,11?4,False,0.0,True,2,0,0,1,1,False,False,False,29482272
PSAVDFE,9841,PRA5887,1,1180095.0,Treatment 2,2020-05-28 17:30:00.700000-04:00,2020-05-28 17:30:30.796000-04:00,1,23.416,18.337,11/4,False,0.0,True,2,0,0,0,0,False,False,False,29482584
PSAVDFE,9841,PRA5893,1,,Treatment 2,2020-05-28 17:30:35.375000-04:00,2020-05-28 17:32:10.697000-04:00,1,95.322,81.765,7/2,False,0.0,True,1,0,0,1,1,False,False,False,29482693
PSAVDFE,9841,PRA5893,1,1180295.0,Treatment 2,2020-05-28 17:31:57.288000-04:00,2020-05-28 17:32:10.621000-04:00,1,13.409,13.33,7:2,True,1.0,True,1,0,0,0,0,False,False,False,29483011
PSAVDFE,9841,PRA59AG,1,,Treatment 2,2020-05-28 17:32:12.631000-04:00,2020-05-28 17:34:33.156000-04:00,1,140.525,124.395,2420:220,False,0.0,True,1,0,0,1,1,False,False,False,29483073
PSAVDFE,9841,PRA59AG,1,1180312.0,Treatment 2,2020-05-28 17:34:17.173000-04:00,2020-05-28 17:34:33.081000-04:00,1,15.983,15.907,11:1,True,1.0,True,1,0,0,0,0,False,False,False,29483538
PSAVDFE,9841,PRA59A6,1,,Treatment 2,2020-05-28 17:34:33.673000-04:00,2020-05-28 17:35:05.111000-04:00,1,31.438,31.436,13:3,True,1.0,True,1,0,0,1,0,False,False,False,29483615
PSAVDFE,9841,PRA5889,1,,Treatment 2,2020-05-28 17:35:05.667000-04:00,2020-05-28 17:35:38.547000-04:00,1,32.88,32.879,5:4,True,1.0,True,1,0,0,1,0,False,False,False,29483723
PSAVDFE,9841,PRA5896,1,,Treatment 2,2020-05-28 17:35:39.061000-04:00,2020-05-28 17:36:09.972000-04:00,1,30.911,26.171,11/1,False,0.0,True,1,0,0,1,1,False,False,False,29483838
PSAVDFE,9841,PRA5896,1,1180296.0,Treatment 2,2020-05-28 17:36:05.364000-04:00,2020-05-28 17:36:09.901000-04:00,1,4.608,4.536,11:1,True,1.0,True,1,0,0,0,0,False,False,False,29483946
PSAVDFE,9841,PRA59AB,1,,Treatment 2,2020-05-28 17:36:10.497000-04:00,2020-05-28 17:36:50.031000-04:00,1,39.534,39.533,13:1,True,1.0,True,1,0,0,1,0,False,False,False,29483963
PSAVDFE,9841,PRA59A3,1,,Treatment 2,2020-05-28 17:36:50.523000-04:00,2020-05-28 17:37:21.747000-04:00,1,31.224,31.222,7:3,True,1.0,True,1,0,0,1,0,False,False,False,29484120
