experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAVK69,21350,44,42,118,116,937,42.458,51.394,0.7859375,1.2049092849519745,1703,2019-08-18 15:51:46.509000-04:00,24,69,137,39.7342995169082,66.7173252279635,75.0608272506083,80.9157212317666,15360,37.2665,28.765,0.5845789281808239,1.3634114583333332,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,21353,38,34,87,69,595,34.9,51.04,0.6651884700665188,1.4,1703,2019-08-18 15:51:46.509000-04:00,24,69,137,39.7342995169082,66.7173252279635,75.0608272506083,80.9157212317666,15360,37.2665,28.765,0.5845789281808239,1.3634114583333332,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,21344,40,37,120,117,1054,35.9215,44.1735,0.6922024623803009,1.2571157495256167,1703,2019-08-18 15:51:46.509000-04:00,24,69,137,39.7342995169082,66.7173252279635,75.0608272506083,80.9157212317666,15360,37.2665,28.765,0.5845789281808239,1.3634114583333332,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,21347,29,15,99,74,486,36.6545,45.88,0.6666666666666666,1.3045267489711934,1703,2019-08-18 15:51:46.509000-04:00,24,69,137,39.7342995169082,66.7173252279635,75.0608272506083,80.9157212317666,15360,37.2665,28.765,0.5845789281808239,1.3634114583333332,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,21346,42,38,123,122,1040,40.982,48.13,0.776824034334764,1.4298076923076923,1703,2019-08-18 15:51:46.509000-04:00,24,69,137,39.7342995169082,66.7173252279635,75.0608272506083,80.9157212317666,15360,37.2665,28.765,0.5845789281808239,1.3634114583333332,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,21107,18,1,89,61,368,43.3635,68.061,0.359504132231405,1.5543478260869565,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,18611,27,16,112,85,755,25.155,34.528,0.45137614678899085,1.3589403973509935,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,35326,19,9,73,46,331,31.195,43.076,0.6363636363636364,1.501510574018127,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,22957,18,5,96,66,439,27.311,47.622,0.33430232558139533,1.6924829157175398,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,18616,5,4,81,63,343,35.202,41.741,0.7723214285714286,1.206997084548105,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,18695,35,19,113,91,672,27.445,36.0795,0.6625258799171843,1.2529761904761905,1704,2019-08-18 15:51:46.514000-04:00,20,65,137,24.6923076923077,52.0249221183801,70.7299270072993,77.5025799793602,9751,33.437,24.845,0.512764405543399,1.3760639934365706,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,17389,35,34,137,137,1099,45.255,50.998,0.7630853994490359,1.21565059144677,1705,2019-08-18 15:51:46.517000-04:00,23,66,137,29.4466403162055,63.3109619686801,83.275150745795,82.8125,15913,34.804,26.557,0.554628015778369,1.377490102431974,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,17385,34,32,129,117,889,38.19,43.349,0.7647058823529411,1.18785151856018,1705,2019-08-18 15:51:46.517000-04:00,23,66,137,29.4466403162055,63.3109619686801,83.275150745795,82.8125,15913,34.804,26.557,0.554628015778369,1.377490102431974,16569,2019-08-18 15:51:07.475000-04:00,889.0,Louisiana,No,None
PSAVK69,113337,2,2,9,8,56,60.44,85.442,0.7666666666666667,1.2142857142857142,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113776,2,2,9,9,66,26.5485,31.2515,0.6571428571428571,1.2878787878787878,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113349,2,2,8,8,66,29.401,33.9575,0.75,1.2121212121212122,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113348,2,2,7,7,47,56.759,60.399,0.7419354838709677,1.3404255319148937,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113347,2,2,8,8,52,39.536,52.243,0.8666666666666667,1.0769230769230769,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113346,2,2,8,7,57,53.0,54.681,0.7575757575757576,1.3157894736842104,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
PSAVK69,113345,2,2,8,8,53,37.824,41.302,0.7419354838709677,1.2830188679245282,8647,2020-03-13 04:23:26.957000-04:00,18,3,9,66.6666666666667,100.0,94.4444444444444,95.4248366013072,1026,42.72,38.681,0.756896551724138,1.2680311890838207,113329,2020-03-13 04:17:05.566000-04:00,2251.0,Virginia,Yes,None
