experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAVTMK,50998,2021-04-11 22:48:55.044000-04:00,2021-04-15 02:50:00-04:00,2021-04-12 13:06:45.509000-04:00,2021-04-12 13:15:55.327000-04:00,1,,,,,,Treatment 3,438.486,58.0465,4.0,2.0,1.0,0.0,4.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,95.683,47.836,1.0,15445541
PSAVTMK,80143,2021-03-29 07:00:00-04:00,,2021-03-29 07:33:35.501000-04:00,,1,,,,,,Treatment 2,1429.23,301.099,5.0,1.0,1.0,1.0,3.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,15097458
PSAVTMK,81852,2021-03-29 07:00:00-04:00,,2021-03-29 07:40:14.241000-04:00,2021-03-29 17:11:02.135000-04:00,4,,,,,,Treatment 1,725.04,139.4846,5.0,4.0,1.0,1.0,5.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,33511.761,16733.4775,2.0,15097485
PSAVTMK,87606,2021-03-29 07:00:00-04:00,,2021-03-29 07:36:08.806000-04:00,,1,,,,,,Treatment 2,14896.813,1589.47422222222,9.0,5.0,1.0,1.0,9.0,18.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,1.0,15097468
PSAVTMK,98159,2020-10-26 20:29:53.141000-04:00,,2021-03-27 02:33:32.318000-04:00,,1,,,,,,Treatment 3,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,15092743
PSAVTMK,114230,2020-11-16 09:00:00-05:00,2020-11-20 17:00:00-05:00,2020-11-20 12:58:36.655000-05:00,,2,,,,,,Treatment 3,230.081,100.027,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,10164935
PSAVTMK,114234,2020-11-16 09:00:00-05:00,2020-11-20 17:00:00-05:00,2020-11-20 09:26:02.170000-05:00,,1,,,,,,Control,1599.875,357.28175,4.0,3.0,1.0,,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,643.137,626.858,1.0,10136355
PSAVTMK,114235,2020-11-16 09:00:00-05:00,2020-11-20 17:00:00-05:00,2020-11-19 15:12:56.665000-05:00,,1,,,,,,Treatment 3,109.059,109.059,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10108809
PSAVTMK,114865,2020-11-16 09:00:00-05:00,2020-11-20 17:00:00-05:00,2020-11-19 10:18:34.688000-05:00,,2,,,,,,Treatment 2,92690.622,47.4386666666667,3.0,0.0,0.0,0.0,3.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,10056788
PSAVTMK,116284,2020-11-16 09:00:00-05:00,2020-11-20 17:00:00-05:00,2020-11-18 10:17:26.029000-05:00,,1,,,,,,Control,100.139,29.6335,3.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,9973875
