experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAXBAF,359722,2021-02-08 09:58:00-05:00,2021-02-08 12:00:00-05:00,2021-02-08 10:04:19.164000-05:00,2021-02-08 10:23:06.985000-05:00,1,,,,,,Treatment,896.868,33.9174375,16,12.0,4.0,,15.0,21,13.0,0,0.0,0.0,0,0,2,1,1.0,1.0,206.648,206.646,1.0,13192328
PSAXBAF,359805,2021-02-08 09:58:00-05:00,2021-02-08 12:00:00-05:00,2021-02-08 21:28:11.716000-05:00,2021-02-08 21:40:05.761000-05:00,1,,,,,,Treatment,653.712,23.5719411764706,17,11.0,3.0,,15.0,21,14.0,0,0.0,0.0,0,0,1,1,1.0,1.0,35.351,35.349,1.0,13248039
PSAXBAF,360250,2021-02-08 09:58:00-05:00,2021-02-08 12:00:00-05:00,2021-02-08 10:11:22.866000-05:00,,1,,,,,,Control,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,13193145
PSAXBAF,360363,2021-02-08 09:58:00-05:00,2021-02-08 12:00:00-05:00,2021-02-08 10:12:12.330000-05:00,,1,,,,,,Treatment,113.1,113.1,1,0.0,,,1.0,1,1.0,0,0.0,0.0,0,0,0,1,,,,,,13193249
PSAXBAF,360803,2021-02-08 09:58:00-05:00,2021-02-08 12:00:00-05:00,2021-02-08 10:05:36.358000-05:00,,1,,,,,,Treatment,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,13192450
PSAXBAF,431180,2020-08-17 12:03:32.268000-04:00,,2020-08-17 12:07:44.178000-04:00,,1,,,,,,Treatment,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,4061164
PSAXBAF,474125,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:10:55.612000-04:00,2020-10-06 13:00:08.293000-04:00,2,,,,,,Control,2769.139,61.8961666666667,6,4.0,1.0,,6.0,9,5.0,0,0.0,0.0,0,0,1,2,1.0,0.0,178.086,144.38,1.0,7218922
PSAXBAF,474126,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:10:43.331000-04:00,2020-10-06 13:02:07.849000-04:00,2,,,,,,Treatment,3051.495,162.007941176471,17,12.0,3.0,,15.0,22,14.0,0,0.0,0.0,0,0,1,2,1.0,0.0,20.663,9.18,1.0,7218879
PSAXBAF,474130,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:48:28.889000-04:00,2020-10-06 12:55:22.307000-04:00,1,,,,,,Treatment,328.879,14.17025,16,12.0,4.0,,16.0,26,13.0,0,0.0,0.0,0,0,3,1,1.0,0.0,68.193,,1.0,7227078
PSAXBAF,474131,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:49:39.772000-04:00,2020-10-06 12:57:24.895000-04:00,1,,,,,,Control,371.145,52.1468333333333,6,4.0,1.0,,6.0,8,5.0,0,0.0,0.0,0,0,2,1,1.0,0.0,89.265,,1.0,7227370
PSAXBAF,474133,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:49:50.611000-04:00,2020-10-06 12:55:54.382000-04:00,1,,,,,,Control,306.052,28.003,6,4.0,1.0,,6.0,8,5.0,0,0.0,0.0,0,0,1,1,1.0,1.0,39.894,39.893,1.0,7227416
PSAXBAF,474134,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:40:05.996000-04:00,2020-10-06 12:56:16.628000-04:00,1,,,,,,Treatment,887.371,96.6171666666667,6,4.0,1.0,,6.0,11,5.0,0,0.0,0.0,0,0,0,1,1.0,0.0,68.747,,1.0,7225250
PSAXBAF,474137,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:53:17.850000-04:00,2020-10-06 13:06:35.776000-04:00,1,,,,,,Control,554.512,28.57425,8,5.0,2.0,,8.0,17,7.0,0,0.0,0.0,0,0,1,1,1.0,1.0,11.992,11.989,1.0,7228220
PSAXBAF,474138,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:50:52.214000-04:00,2020-10-06 13:03:54.149000-04:00,1,,,,,,Treatment,698.769,30.474,16,12.0,3.0,,16.0,21,13.0,0,0.0,0.0,0,0,2,1,1.0,0.0,52.055,33.177,1.0,7227670
PSAXBAF,474139,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:48:38.225000-04:00,2020-10-06 12:57:29.670000-04:00,1,,,,,,Control,385.679,32.9275714285714,7,5.0,2.0,,7.0,10,6.0,0,0.0,0.0,0,0,2,1,1.0,1.0,137.395,137.391,1.0,7227125
PSAXBAF,474142,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:49:17.219000-04:00,2020-10-06 13:03:58.463000-04:00,1,,,,,,Treatment,799.194,37.0841666666667,18,12.0,3.0,,18.0,25,15.0,0,0.0,0.0,0,0,6,1,1.0,1.0,69.741,69.739,1.0,7227275
PSAXBAF,474174,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:54:27.756000-04:00,2020-10-06 13:00:54.263000-04:00,1,,,,,,Control,345.786,29.43875,8,4.0,1.0,,8.0,13,7.0,0,0.0,0.0,0,0,4,1,1.0,0.0,31.559,16.101,1.0,7228487
PSAXBAF,529048,2020-10-06 09:00:00-04:00,2020-10-06 13:35:00-04:00,2020-10-06 12:48:53.088000-04:00,,3,,,,,,Treatment,87292.564,4826.64144444444,18,7.0,3.0,,13.0,24,16.0,0,0.0,0.0,0,0,11,3,,,,,,7227188
