experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAXBAF,359722,PRA86VF,1,,Treatment,2021-02-08 10:04:20.182000-05:00,2021-02-08 10:07:00.739000-05:00,1,160.557,43.173,102,False,0.0,True,4,1,0,0,0,False,False,True,100137170
PSAXBAF,359722,PRA86VC,1,,Treatment,2021-02-08 10:07:01.844000-05:00,2021-02-08 10:07:39.103000-05:00,1,37.259,37.258,238,True,1.0,True,1,1,0,0,0,False,False,False,100138956
PSAXBAF,359722,PRA86VD,1,,Treatment,2021-02-08 10:07:39.990000-05:00,2021-02-08 10:10:09.634000-05:00,1,149.644,118.206,262,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100139382
PSAXBAF,359722,PRA875A,1,,Treatment,2021-02-08 10:10:12.069000-05:00,2021-02-08 10:10:23.179000-05:00,1,11.11,11.109,I am ready to start!,True,1.0,True,1,0,0,0,0,False,False,False,100141189
PSAXBAF,359722,PRA8FA8,1,,Treatment,2021-02-08 10:10:24.533000-05:00,2021-02-08 10:10:31.646000-05:00,1,7.113,7.112,4,True,1.0,True,1,1,0,0,0,False,False,False,100141332
PSAXBAF,359722,PRA8E9Z,1,,Treatment,2021-02-08 10:10:32.565000-05:00,2021-02-08 10:10:36.561000-05:00,1,3.996,3.995,3,True,1.0,True,1,1,0,0,0,False,False,False,100141441
PSAXBAF,359722,PRA8E9D,1,,Treatment,2021-02-08 10:10:37.689000-05:00,2021-02-08 10:12:45.675000-05:00,1,127.986,26.698,21,False,0.0,False,1,1,0,0,0,False,False,True,100141512
PSAXBAF,359722,PRA8E8H,1,,Treatment,2021-02-08 10:12:46.422000-05:00,2021-02-08 10:12:58.992000-05:00,1,12.57,12.568,16,True,1.0,True,1,1,0,0,0,False,False,False,100143162
PSAXBAF,359722,PRA8E8P,1,,Treatment,2021-02-08 10:12:59.800000-05:00,2021-02-08 10:13:03.824000-05:00,1,4.024,4.023,15,True,1.0,True,1,1,0,0,0,False,False,False,100143366
PSAXBAF,359722,PRA85VX,1,,Treatment,2021-02-08 10:13:04.651000-05:00,2021-02-08 10:13:07.816000-05:00,1,3.165,3.163,I'm ready to return to Matrix Multiplication questions!,True,1.0,True,1,0,0,0,0,False,False,False,100143432
PSAXBAF,359722,PRA8FFC,1,,Treatment,2021-02-08 10:13:09.666000-05:00,2021-02-08 10:14:08.352000-05:00,1,58.686,58.685,404,True,1.0,True,1,1,0,0,0,False,False,False,100143504
