experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAXBAF,359722,,,,,assignment_started,2021-02-08 10:04:19.164000-05:00,589239226
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,problem_started,2021-02-08 10:04:20.182000-05:00,589239231
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,wrong_response,2021-02-08 10:05:03.355000-05:00,589241896
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,wrong_response,2021-02-08 10:05:45.153000-05:00,589245421
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,hint_requested,2021-02-08 10:05:56.317000-05:00,589246014
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,wrong_response,2021-02-08 10:06:33.882000-05:00,589248592
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,answer_requested,2021-02-08 10:06:36.146000-05:00,589248593
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,correct_response,2021-02-08 10:07:00.736000-05:00,589249707
PSAXBAF,359722,PRA86VF,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,problem_finished,2021-02-08 10:07:00.739000-05:00,589249708
PSAXBAF,359722,,,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,continue_selected,2021-02-08 10:07:01.783000-05:00,589249709
PSAXBAF,359722,PRA86VC,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,problem_started,2021-02-08 10:07:01.844000-05:00,589249710
PSAXBAF,359722,PRA86VC,1.0,,Matrix Multiplication N.VM.C.8 EX/Decision/[treatment]/Test Skill Builder,correct_response,2021-02-08 10:07:39.102000-05:00,589252044
