experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAXD6K,474125,PRA86WX,1,,Treatment 1,2020-10-19 12:52:46.768000-04:00,2020-10-19 12:54:25.923000-04:00,1,99.155,99.15,-1/4,True,1.0,True,1,1,0,0,0,False,False,False,61975660
PSAXD6K,474125,PRA829N,1,,Treatment 1,2020-10-19 12:54:26.574000-04:00,2020-10-19 12:55:27.268000-04:00,1,60.694,60.69,13/2,True,1.0,True,1,1,0,0,0,False,False,False,61977725
PSAXD6K,474125,PRA828W,1,,Treatment 1,2020-10-19 12:55:27.651000-04:00,2020-10-19 12:55:54.382000-04:00,1,26.731,26.73,5/3,True,1.0,True,1,1,0,0,0,False,False,False,61979022
PSAXD6K,474125,PRA8WAJ,1,,Unknown,2020-10-19 12:55:54.730000-04:00,2020-10-19 12:55:59.139000-04:00,1,4.409,4.406,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,61979675
PSAXD6K,474125,PRA84HD,1,,Posttest,2020-10-19 12:56:01.355000-04:00,2020-10-19 12:57:00.523000-04:00,1,59.168,54.961,12,False,0.0,True,1,0,0,1,1,False,False,False,61979834
PSAXD6K,474125,PRA84HD,1,1287322.0,Posttest,2020-10-19 12:56:56.422000-04:00,2020-10-19 12:57:00.477000-04:00,1,4.101,4.054,5/11,True,1.0,True,1,0,0,0,0,False,False,False,61981027
PSAXD6K,474125,PRA84HC,1,,Posttest,2020-10-19 12:57:00.976000-04:00,2020-10-19 12:57:48.114000-04:00,1,47.138,47.137,4x-6,True,1.0,True,1,0,0,1,0,False,False,False,61981137
PSAXD6K,474126,PRA86WT,1,,Treatment 1,2020-10-19 13:08:45-04:00,2020-10-19 13:09:04.601000-04:00,1,19.601,19.597,-3/4,True,1.0,True,1,1,0,0,0,False,False,False,61995436
PSAXD6K,474126,PRA86WV,1,,Treatment 1,2020-10-19 13:09:05.143000-04:00,2020-10-19 13:09:23.673000-04:00,1,18.53,18.528,0,True,1.0,True,1,1,0,0,0,False,False,False,61995826
PSAXD6K,474126,PRA829G,1,,Treatment 1,2020-10-19 13:09:24.595000-04:00,2020-10-19 13:09:31.729000-04:00,1,7.134,7.132,5,True,1.0,True,1,1,0,0,0,False,False,False,61996248
PSAXD6K,474126,PRA8WAJ,1,,Unknown,2020-10-19 13:09:32.110000-04:00,2020-10-19 13:09:36.398000-04:00,1,4.288,4.285,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,61996409
PSAXD6K,474126,PRA84HD,1,,Posttest,2020-10-19 13:09:37.227000-04:00,2020-10-19 13:09:51.145000-04:00,1,13.918,,,False,0.0,False,0,0,0,1,1,False,False,False,61996527
PSAXD6K,474126,PRA84HD,1,1287322.0,Posttest,2020-10-19 13:09:44.828000-04:00,2020-10-19 13:09:51.089000-04:00,1,6.317,1.802,5/11,False,0.0,False,1,0,0,0,0,False,False,True,61996701
PSAXD6K,474126,PRA84HC,1,,Posttest,2020-10-19 13:09:54.509000-04:00,2020-10-19 13:10:34.950000-04:00,1,40.441,40.364,4x-6,False,0.0,False,1,0,0,1,1,False,False,False,61996930
PSAXD6K,474126,PRA84HC,1,1287320.0,Posttest,2020-10-19 13:10:23.197000-04:00,2020-10-19 13:10:34.897000-04:00,1,11.729,1.11,,False,0.0,False,0,0,0,0,0,False,False,True,61997521
PSAXD6K,474130,PRA83A3,1,,Treatment 2,2020-10-20 13:42:26.496000-04:00,2020-10-20 13:46:26.752000-04:00,1,240.256,125.579,-7.33,False,0.0,True,2,1,3,0,0,False,False,True,62792937
PSAXD6K,474130,PRA83BT,1,,Treatment 2,2020-10-20 13:46:27.336000-04:00,2020-10-20 13:47:20.074000-04:00,1,52.738,52.735,9.5,True,1.0,True,1,1,0,0,0,False,False,False,62799080
PSAXD6K,474130,PRA83BA,1,,Treatment 2,2020-10-20 13:47:20.536000-04:00,2020-10-20 13:47:47.700000-04:00,1,27.164,27.161,17/6,True,1.0,True,1,1,0,0,0,False,False,False,62800416
PSAXD6K,474130,PRA83B8,1,,Treatment 2,2020-10-20 13:47:48.361000-04:00,2020-10-20 13:48:02.027000-04:00,1,13.666,13.662,6/7,True,1.0,True,1,1,0,0,0,False,False,False,62801122
PSAXD6K,474130,PRA8WAJ,1,,Unknown,2020-10-20 13:48:02.527000-04:00,2020-10-20 13:48:04.543000-04:00,1,2.016,2.013,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,62801518
PSAXD6K,474130,PRA84HD,1,,Posttest,2020-10-20 13:48:06.308000-04:00,2020-10-20 13:48:53.808000-04:00,1,47.5,47.495,5/11,True,1.0,True,1,0,0,1,0,False,False,False,62801631
PSAXD6K,474130,PRA84HC,1,,Posttest,2020-10-20 13:48:54.509000-04:00,2020-10-20 13:49:45.012000-04:00,1,50.503,,,False,0.0,False,0,0,0,1,1,False,False,False,62802911
PSAXD6K,474130,PRA84HC,1,1287320.0,Posttest,2020-10-20 13:49:33.227000-04:00,2020-10-20 13:49:44.809000-04:00,1,11.785,6.362,3x-6,False,0.0,True,2,0,0,0,0,False,False,False,62803924
PSAXD6K,474131,PRA86W2,1,,Treatment 1,2020-10-19 09:58:55.756000-04:00,2020-10-19 10:01:54.072000-04:00,1,178.316,178.304,-10/3,True,1.0,True,1,1,0,0,0,False,False,False,61768155
