experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAXJC2,795834,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-20 11:20:42.095000-04:00,2020-10-20 11:28:04.738000-04:00,1,,,,,,Treatment 1,149.633,27.57275,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,265.518,76.738,1.0,8149082
PSAXJC2,796262,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-20 12:49:54.770000-04:00,2020-10-21 13:38:22.111000-04:00,3,,,,,,Treatment 2,89167.0,17831.4356,5.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,118.025,13.479,1.0,8167870
PSAXJC2,796539,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 11:11:46.224000-04:00,2020-10-21 11:20:31.443000-04:00,1,,,,,,Control,264.153,88.0493333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,233.176,106.2845,1.0,8252875
PSAXJC2,796663,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 12:21:04.556000-04:00,2020-10-21 12:35:28.428000-04:00,1,,,,,,Treatment 1,489.28,244.63,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,320.089,121.2025,1.0,8266395
PSAXJC2,797053,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 22:56:05.971000-04:00,2020-10-21 23:10:28.289000-04:00,3,,,,,,Treatment 3,356.416,16.8585,8.0,6.0,2.0,,8.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,438.668,25.647,1.0,8318392
PSAXJC2,797966,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 13:56:05.407000-04:00,2020-10-21 13:59:55.891000-04:00,1,,,,,,Treatment 1,61.307,30.6485,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,141.425,70.7075,1.0,8283846
PSAXJC2,799238,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 00:17:37.260000-04:00,2020-10-21 11:49:10.079000-04:00,2,,,,,,Control,40556.202,5783.75014285714,7.0,5.0,2.0,2.0,6.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,793.554,136.04,1.0,8223890
PSAXJC2,799257,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-21 14:52:54.633000-04:00,2020-10-21 15:19:15.973000-04:00,1,,,,,,Treatment 2,1446.231,127.192636363636,11.0,9.0,2.0,1.0,11.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,85.32,34.782,1.0,8293522
PSAXJC2,799432,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-11-05 23:44:06.982000-05:00,2020-11-05 23:56:05.921000-05:00,1,,,,,,Treatment 2,479.823,36.1298888888889,9.0,4.0,1.0,,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,152.528,76.255,1.0,9266388
PSAXJC2,799510,2020-10-19 21:35:00+00:00,2020-10-21 21:35:00+00:00,2020-10-22 00:28:08.636000-04:00,2020-10-22 00:48:06.552000-04:00,1,,,,,,Control,833.173,107.347714285714,7.0,5.0,2.0,,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,330.909,56.94,1.0,8319618
