experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAXP7W,568830,PRA84YN,1,,Unknown,2020-10-15 04:31:45.897000+00:00,2020-10-15 04:40:56.211000+00:00,1,550.314,550.302,11/9,True,1.0,True,1,1,0,0,0,False,False,False,60313191
PSAXP7W,568830,PRA84XV,1,,Unknown,2020-10-15 04:40:56.821000+00:00,2020-10-15 04:43:18.859000+00:00,1,142.038,142.032,-8,True,1.0,True,1,1,0,0,0,False,False,False,60313932
PSAXP7W,568830,PRA84WV,1,,Unknown,2020-10-15 04:43:19.393000+00:00,2020-10-15 04:45:54.951000+00:00,1,155.558,155.553,18,True,1.0,True,1,1,0,0,0,False,False,False,60314129
PSAXP7W,568830,PRA8WAJ,1,,Unknown,2020-10-15 04:45:57.665000+00:00,2020-10-15 04:46:04.044000+00:00,1,6.379,6.375,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,60314361
PSAXP7W,568830,PRA8US2,1,,Posttest,2020-10-15 04:46:07.981000+00:00,2020-10-15 04:48:57.304000+00:00,1,169.323,169.32,1.5,True,1.0,True,1,0,0,1,0,False,False,False,60314368
PSAXP7W,568830,PRA84HB,1,,Posttest,2020-10-15 04:48:57.851000+00:00,2020-10-15 04:50:46.515000+00:00,1,108.664,108.662,3.5,True,1.0,True,1,0,0,1,0,False,False,False,60314618
PSAXP7W,568979,PRA84X4,1,,Unknown,2020-10-14 23:57:24.693000+00:00,2020-10-14 23:58:59.422000+00:00,1,94.729,94.725,7/9,True,1.0,True,1,1,0,0,0,False,False,False,60249930
PSAXP7W,568979,PRA84YK,1,,Unknown,2020-10-14 23:59:00.747000+00:00,2020-10-14 23:59:53.973000+00:00,1,53.226,53.224,4/3,True,1.0,True,1,1,0,0,0,False,False,False,60250461
PSAXP7W,568979,PRA84W4,1,,Unknown,2020-10-14 23:59:54.526000+00:00,2020-10-15 00:01:00.280000+00:00,1,65.754,65.751,9,True,1.0,True,1,1,0,0,0,False,False,False,60250751
PSAXP7W,568979,PRA8WAJ,1,,Unknown,2020-10-15 00:01:00.943000+00:00,2020-10-15 00:01:06.037000+00:00,1,5.094,5.092,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,60251133
PSAXP7W,568979,PRA8US2,1,,Posttest,2020-10-15 00:01:09.289000+00:00,2020-10-15 00:05:28.484000+00:00,1,259.195,,,False,0.0,False,0,0,0,1,1,False,False,False,60251181
PSAXP7W,568979,PRA8US2,1,1286146.0,Posttest,2020-10-15 00:04:18.120000+00:00,2020-10-15 00:05:28.410000+00:00,1,70.364,70.287,I have read the solution,True,1.0,True,1,0,0,0,0,False,False,False,60252396
PSAXP7W,568979,PRA84HB,1,,Posttest,2020-10-15 00:05:30.916000+00:00,2020-10-15 00:20:09.994000+00:00,1,879.078,,,False,0.0,False,0,0,0,1,1,False,False,False,60252800
PSAXP7W,568979,PRA84HB,1,1287318.0,Posttest,2020-10-15 00:19:41.227000+00:00,2020-10-15 00:20:09.915000+00:00,1,28.767,28.683,I have read the solution,True,1.0,True,1,0,0,0,0,False,False,False,60257698
PSAXP7W,569197,PRA84XV,1,,Unknown,2020-10-14 21:09:57.821000+00:00,2020-10-14 21:11:15.517000+00:00,1,77.696,42.139,32/-4,False,0.0,False,1,1,0,0,0,False,False,True,60183359
PSAXP7W,569197,PRA84WV,1,,Unknown,2020-10-14 21:11:16.989000+00:00,2020-10-14 21:11:51.744000+00:00,1,34.755,34.753,18,True,1.0,True,1,1,0,0,0,False,False,False,60184025
PSAXP7W,569197,PRA84X7,1,,Unknown,2020-10-14 21:11:52.881000+00:00,2020-10-14 21:12:36.365000+00:00,1,43.484,10.705,10,False,0.0,True,2,1,0,0,0,False,False,True,60184346
PSAXP7W,569197,PRA8WAK,1,,Unknown,2020-10-14 21:12:38.147000+00:00,2020-10-14 21:12:49.726000+00:00,1,11.579,11.578,I am ready to start!,True,1.0,True,1,1,0,0,0,False,False,False,60184753
PSAXP7W,569197,PRA8ZE9,1,,Unknown,2020-10-14 21:12:51.856000+00:00,2020-10-14 21:13:04.464000+00:00,1,12.608,12.606,4+4I,True,1.0,True,1,1,0,0,0,False,False,False,60184866
PSAXP7W,569197,PRA8ZGH,1,,Unknown,2020-10-14 21:13:05.749000+00:00,2020-10-14 21:13:20.147000+00:00,1,14.398,14.396,-29,True,1.0,True,1,1,0,0,0,False,False,False,60184993
PSAXP7W,569197,PRA86C7,1,,Unknown,2020-10-14 21:13:21.341000+00:00,2020-10-14 21:13:24.182000+00:00,1,2.841,2.839,I'm ready to return to the complex number equations,True,1.0,True,1,0,0,0,0,False,False,False,60185122
PSAXP7W,569197,PRA84WT,1,,Unknown,2020-10-14 21:13:26.344000+00:00,2020-10-14 21:13:34.341000+00:00,1,7.997,7.995,11,True,1.0,True,1,1,0,0,0,False,False,False,60185164
PSAXP7W,569197,PRA84YG,1,,Unknown,2020-10-14 21:13:35.443000+00:00,2020-10-14 21:13:43.392000+00:00,1,7.949,7.948,2,True,1.0,True,1,1,0,0,0,False,False,False,60185241
PSAXP7W,569197,PRA84W6,1,,Unknown,2020-10-14 21:13:44.328000+00:00,2020-10-14 21:13:54.066000+00:00,1,9.738,9.737,6,True,1.0,True,1,1,0,0,0,False,False,False,60185334
PSAXP7W,569197,PRA84XR,1,,Unknown,2020-10-14 21:13:55.473000+00:00,2020-10-14 21:14:20.025000+00:00,1,24.552,24.551,-14,True,1.0,True,1,1,0,0,0,False,False,False,60185432
PSAXP7W,569197,PRA8WAJ,1,,Unknown,2020-10-14 21:14:21.176000+00:00,2020-10-14 21:14:24.475000+00:00,1,3.299,3.298,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,60185649
PSAXP7W,569197,PRA8US2,1,,Posttest,2020-10-14 21:14:25.961000+00:00,2020-10-14 21:15:28.556000+00:00,1,62.595,,,False,0.0,False,0,0,0,1,1,False,False,False,60185693
PSAXP7W,569197,PRA8US2,1,1286146.0,Posttest,2020-10-14 21:15:09.878000+00:00,2020-10-14 21:15:28.124000+00:00,1,18.678,18.244,I have read the solution,True,1.0,True,1,0,0,0,0,False,False,False,60186020
PSAXP7W,569197,PRA84HB,1,,Posttest,2020-10-14 21:15:29.657000+00:00,2020-10-14 21:16:20.049000+00:00,1,50.392,50.389,7/2,True,1.0,True,1,0,0,1,0,False,False,False,60186186
PSAXP7W,569222,PRA84WV,1,,Unknown,2020-10-15 03:24:36.076000+00:00,2020-10-15 03:29:25.857000+00:00,1,289.781,289.728,18,True,1.0,True,1,1,0,0,0,False,False,False,60305648
PSAXP7W,569222,PRA84XV,1,,Unknown,2020-10-15 03:29:27.363000+00:00,2020-10-15 03:30:17.853000+00:00,1,50.49,50.482,-8,True,1.0,True,1,1,0,0,0,False,False,False,60306421
PSAXP7W,569222,PRA84X7,1,,Unknown,2020-10-15 03:30:18.613000+00:00,2020-10-15 03:30:38.384000+00:00,1,19.771,19.763,2.5,True,1.0,True,1,1,0,0,0,False,False,False,60306550
PSAXP7W,569222,PRA8WAJ,1,,Unknown,2020-10-15 03:30:39.624000+00:00,2020-10-15 03:30:47.038000+00:00,1,7.414,7.406,I am ready to do my best.,True,1.0,True,1,0,0,0,0,False,False,False,60306613
