experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAXP7W,568830,,,,,assignment_started,2020-10-15 04:31:31.165000+00:00,353901915
PSAXP7W,568830,PRA84YN,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-15 04:31:45.897000+00:00,353901968
PSAXP7W,568830,PRA84YN,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-15 04:40:56.199000+00:00,353906605
PSAXP7W,568830,PRA84YN,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-15 04:40:56.211000+00:00,353906606
PSAXP7W,568830,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,continue_selected,2020-10-15 04:40:56.732000+00:00,353906607
PSAXP7W,568830,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-15 04:40:56.821000+00:00,353906608
PSAXP7W,568830,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-15 04:43:18.853000+00:00,353907853
PSAXP7W,568830,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-15 04:43:18.859000+00:00,353907857
PSAXP7W,568830,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,continue_selected,2020-10-15 04:43:19.289000+00:00,353907858
PSAXP7W,568830,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-15 04:43:19.393000+00:00,353907859
PSAXP7W,568830,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-15 04:45:54.946000+00:00,353909218
PSAXP7W,568830,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-15 04:45:54.951000+00:00,353909287
PSAXP7W,568830,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment],continue_selected,2020-10-15 04:45:55.386000+00:00,353909289
PSAXP7W,568830,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/THEN - message,problem_started,2020-10-15 04:45:57.665000+00:00,353909291
PSAXP7W,568830,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/THEN - message,correct_response,2020-10-15 04:46:04.040000+00:00,353909292
PSAXP7W,568830,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/THEN - message,problem_finished,2020-10-15 04:46:04.044000+00:00,353909324
PSAXP7W,568830,,,,Complex Numbers N.CN.A.2 EX,continue_selected,2020-10-15 04:46:05.556000+00:00,353909328
PSAXP7W,568830,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 04:46:07.981000+00:00,353909330
PSAXP7W,568830,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],correct_response,2020-10-15 04:48:57.301000+00:00,353910833
PSAXP7W,568830,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 04:48:57.304000+00:00,353910834
PSAXP7W,568830,,,,Complex Numbers N.CN.A.2 EX/[posttest],continue_selected,2020-10-15 04:48:57.759000+00:00,353910835
PSAXP7W,568830,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 04:48:57.851000+00:00,353910836
PSAXP7W,568830,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],correct_response,2020-10-15 04:50:46.513000+00:00,353911792
PSAXP7W,568830,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 04:50:46.515000+00:00,353911793
PSAXP7W,568830,,,,,assignment_finished,2020-10-15 04:50:46.616000+00:00,353911796
PSAXP7W,568979,,,,,assignment_started,2020-10-14 23:57:23.881000+00:00,353519532
PSAXP7W,568979,PRA84X4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_started,2020-10-14 23:57:24.693000+00:00,353519537
PSAXP7W,568979,PRA84X4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,correct_response,2020-10-14 23:58:59.418000+00:00,353522675
PSAXP7W,568979,PRA84X4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_finished,2020-10-14 23:58:59.422000+00:00,353522708
PSAXP7W,568979,,,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,continue_selected,2020-10-14 23:59:00.694000+00:00,353522709
PSAXP7W,568979,PRA84YK,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_started,2020-10-14 23:59:00.747000+00:00,353522710
PSAXP7W,568979,PRA84YK,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,correct_response,2020-10-14 23:59:53.971000+00:00,353524471
PSAXP7W,568979,PRA84YK,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_finished,2020-10-14 23:59:53.973000+00:00,353524485
PSAXP7W,568979,,,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,continue_selected,2020-10-14 23:59:54.477000+00:00,353524486
PSAXP7W,568979,PRA84W4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_started,2020-10-14 23:59:54.526000+00:00,353524487
PSAXP7W,568979,PRA84W4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,correct_response,2020-10-15 00:01:00.277000+00:00,353526704
PSAXP7W,568979,PRA84W4,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control]/Control problem set,problem_finished,2020-10-15 00:01:00.280000+00:00,353526734
PSAXP7W,568979,,,,Complex Numbers N.CN.A.2 EX/Decision/[Control],continue_selected,2020-10-15 00:01:00.899000+00:00,353526736
PSAXP7W,568979,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control],problem_started,2020-10-15 00:01:00.943000+00:00,353526737
PSAXP7W,568979,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control],correct_response,2020-10-15 00:01:06.035000+00:00,353526909
PSAXP7W,568979,PRA8WAJ,1.0,,Complex Numbers N.CN.A.2 EX/Decision/[Control],problem_finished,2020-10-15 00:01:06.037000+00:00,353527012
PSAXP7W,568979,,,,Complex Numbers N.CN.A.2 EX,continue_selected,2020-10-15 00:01:09.064000+00:00,353527015
PSAXP7W,568979,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 00:01:09.289000+00:00,353527017
PSAXP7W,568979,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],scaffolding_requested,2020-10-15 00:04:17.988000+00:00,353534079
PSAXP7W,568979,PRA8US2,1.0,1286146.0,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 00:04:18.120000+00:00,353534383
PSAXP7W,568979,PRA8US2,1.0,1286146.0,Complex Numbers N.CN.A.2 EX/[posttest],correct_response,2020-10-15 00:05:28.407000+00:00,353536670
PSAXP7W,568979,PRA8US2,1.0,1286146.0,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 00:05:28.410000+00:00,353536771
PSAXP7W,568979,PRA8US2,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 00:05:28.484000+00:00,353536775
PSAXP7W,568979,,,,Complex Numbers N.CN.A.2 EX/[posttest],continue_selected,2020-10-15 00:05:30.866000+00:00,353536776
PSAXP7W,568979,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 00:05:30.916000+00:00,353536777
PSAXP7W,568979,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],scaffolding_requested,2020-10-15 00:19:41.090000+00:00,353566286
PSAXP7W,568979,PRA84HB,1.0,1287318.0,Complex Numbers N.CN.A.2 EX/[posttest],problem_started,2020-10-15 00:19:41.227000+00:00,353566651
PSAXP7W,568979,PRA84HB,1.0,1287318.0,Complex Numbers N.CN.A.2 EX/[posttest],correct_response,2020-10-15 00:20:09.910000+00:00,353567392
PSAXP7W,568979,PRA84HB,1.0,1287318.0,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 00:20:09.915000+00:00,353567444
PSAXP7W,568979,PRA84HB,1.0,,Complex Numbers N.CN.A.2 EX/[posttest],problem_finished,2020-10-15 00:20:09.994000+00:00,353567448
PSAXP7W,568979,,,,,assignment_finished,2020-10-15 00:20:10.039000+00:00,353567451
PSAXP7W,569197,,,,,assignment_started,2020-10-14 21:09:56.642000+00:00,353116019
PSAXP7W,569197,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-14 21:09:57.821000+00:00,353116024
PSAXP7W,569197,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,hint_requested,2020-10-14 21:10:39.960000+00:00,353118266
PSAXP7W,569197,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,answer_requested,2020-10-14 21:10:48.850000+00:00,353118823
PSAXP7W,569197,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-14 21:11:15.515000+00:00,353120144
PSAXP7W,569197,PRA84XV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-14 21:11:15.517000+00:00,353120145
PSAXP7W,569197,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,continue_selected,2020-10-14 21:11:16.787000+00:00,353120146
PSAXP7W,569197,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-14 21:11:16.989000+00:00,353120147
PSAXP7W,569197,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-14 21:11:51.742000+00:00,353122109
PSAXP7W,569197,PRA84WV,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-14 21:11:51.744000+00:00,353122179
PSAXP7W,569197,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,continue_selected,2020-10-14 21:11:52.675000+00:00,353122180
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_started,2020-10-14 21:11:52.881000+00:00,353122181
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,wrong_response,2020-10-14 21:12:03.586000+00:00,353122833
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,hint_requested,2020-10-14 21:12:17.183000+00:00,353123796
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,answer_requested,2020-10-14 21:12:20.726000+00:00,353123797
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,correct_response,2020-10-14 21:12:36.362000+00:00,353124592
PSAXP7W,569197,PRA84X7,1.0,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment]/IF - Short SB,problem_finished,2020-10-14 21:12:36.365000+00:00,353124593
PSAXP7W,569197,,,,Complex Numbers N.CN.A.2 EX/Decision/ITE [Treatment],continue_selected,2020-10-14 21:12:37.357000+00:00,353124595
