experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAXTEE,474125,PRA8FDE,1,,Unknown,2020-10-05 09:23:21.877000-04:00,2020-10-05 13:23:43.402000+00:00,1,21.525,21.518,15,True,1.0,True,1,1,0,0,0,False,False,False,54800653
PSAXTEE,474125,PRA8FEQ,1,,Unknown,2020-10-05 09:23:43.915000-04:00,2020-10-05 13:23:51.109000+00:00,1,7.194,7.19,13,True,1.0,True,1,1,0,0,0,False,False,False,54800964
PSAXTEE,474125,PRA88EW,1,,Unknown,2020-10-05 09:23:52.174000-04:00,2020-10-05 13:24:28.621000+00:00,1,36.447,36.443,20.00,True,1.0,True,1,1,0,0,0,False,False,False,54801105
PSAXTEE,474126,PRA8FEQ,1,,Unknown,2020-10-05 12:54:29.133000-04:00,2020-10-05 16:54:50.258000+00:00,1,21.125,21.122,13,True,1.0,True,1,1,0,0,0,False,False,False,55065378
PSAXTEE,474126,PRA8FEF,1,,Unknown,2020-10-05 12:54:50.484000-04:00,2020-10-05 16:55:15.301000+00:00,1,24.817,6.335,25,False,0.666666666666667,True,2,1,0,0,0,False,False,False,55065884
PSAXTEE,474126,PRA8FC9,1,,Unknown,2020-10-05 12:55:15.637000-04:00,2020-10-05 16:56:02.251000+00:00,1,46.614,29.845,6,False,0.666666666666667,True,2,1,0,0,0,False,False,False,55066475
PSAXTEE,474126,PRA8FDV,1,,Unknown,2020-10-05 12:56:02.863000-04:00,2020-10-05 16:56:10.845000+00:00,1,7.982,7.98,0,True,1.0,True,1,1,0,0,0,False,False,False,55067579
PSAXTEE,474126,PRA8FC2,1,,Unknown,2020-10-05 12:56:11.347000-04:00,2020-10-05 16:57:02.978000+00:00,1,51.631,51.63,5,True,1.0,True,1,1,0,0,0,False,False,False,55067773
PSAXTEE,474126,PRA88C8,1,,Unknown,2020-10-05 12:57:03.374000-04:00,2020-10-05 16:57:16.268000+00:00,1,12.894,12.892,17,True,1.0,True,1,1,0,0,0,False,False,False,55068987
PSAXTEE,474130,PRA88EY,1,,Unknown,2020-10-05 12:49:19.256000-04:00,2020-10-05 16:50:01.544000+00:00,1,42.288,33.592,24,False,0.0,True,2,1,0,0,0,False,False,True,55057792
PSAXTEE,474130,PRA88EM,1,,Unknown,2020-10-05 12:50:02.865000-04:00,2020-10-05 16:50:21.311000+00:00,1,18.446,18.444,20,True,1.0,True,1,1,0,0,0,False,False,False,55059061
PSAXTEE,474130,PRA88ET,1,,Unknown,2020-10-05 12:50:21.748000-04:00,2020-10-05 16:50:33.088000+00:00,1,11.34,11.338,19,True,1.0,True,1,1,0,0,0,False,False,False,55059299
PSAXTEE,474130,PRA8FDX,1,,Unknown,2020-10-05 12:50:33.960000-04:00,2020-10-05 16:50:50.493000+00:00,1,16.533,11.34,16,False,0.666666666666667,True,2,1,0,0,0,False,False,False,55059584
PSAXTEE,474130,PRA8FEJ,1,,Unknown,2020-10-05 12:50:51.091000-04:00,2020-10-05 16:50:56.773000+00:00,1,5.682,5.681,0,True,1.0,True,1,1,0,0,0,False,False,False,55060033
PSAXTEE,474130,PRA8FDC,1,,Unknown,2020-10-05 12:50:57.182000-04:00,2020-10-05 16:51:09.102000+00:00,1,11.92,11.919,25,True,1.0,True,1,1,0,0,0,False,False,False,55060198
PSAXTEE,474130,PRA8FD3,1,,Unknown,2020-10-05 12:51:09.562000-04:00,2020-10-05 16:51:13.895000+00:00,1,4.333,4.332,12,True,1.0,True,1,1,0,0,0,False,False,False,55060484
PSAXTEE,474131,PRA88CR,1,,Unknown,2020-10-05 12:40:30.384000-04:00,2020-10-05 16:40:51.921000+00:00,1,21.537,21.533,18,True,1.0,True,1,1,0,0,0,False,False,False,55045209
PSAXTEE,474131,PRA88C2,1,,Unknown,2020-10-05 12:40:52.387000-04:00,2020-10-05 16:41:01.234000+00:00,1,8.847,8.845,17,True,1.0,True,1,1,0,0,0,False,False,False,55045718
PSAXTEE,474131,PRA8FD5,1,,Unknown,2020-10-05 12:41:01.750000-04:00,2020-10-05 16:42:28.246000+00:00,1,86.496,52.427,-1,False,0.0,False,1,1,0,0,0,False,False,True,55045911
PSAXTEE,474131,PRA8FCT,1,,Unknown,2020-10-05 12:42:28.806000-04:00,2020-10-05 16:43:00.958000+00:00,1,32.152,12.733,-2,False,0.0,False,1,1,0,0,0,False,False,True,55047907
PSAXTEE,474131,PRA8FCR,1,,Unknown,2020-10-05 12:43:01.565000-04:00,2020-10-05 16:43:12.613000+00:00,1,11.048,11.046,-1,True,1.0,True,1,1,0,0,0,False,False,False,55048909
PSAXTEE,474131,PRA8FDP,1,,Unknown,2020-10-05 12:43:12.978000-04:00,2020-10-05 16:43:21.270000+00:00,1,8.292,8.29,14,True,1.0,True,1,1,0,0,0,False,False,False,55048944
PSAXTEE,474131,PRA8FDT,1,,Unknown,2020-10-05 12:43:21.531000-04:00,2020-10-05 16:43:27.646000+00:00,1,6.115,6.113,13,True,1.0,True,1,1,0,0,0,False,False,False,55049153
PSAXTEE,474133,PRA8FDQ,1,,Unknown,2020-10-05 12:50:53.903000-04:00,2020-10-05 16:58:32.658000+00:00,1,458.755,458.752,14,True,1.0,True,1,1,0,0,0,False,False,False,55060109
PSAXTEE,474133,PRA8FCH,1,,Unknown,2020-10-05 12:58:33.258000-04:00,2020-10-05 16:58:42.054000+00:00,1,8.796,8.795,21,True,1.0,True,1,1,0,0,0,False,False,False,55071022
PSAXTEE,474133,PRA88DT,1,,Unknown,2020-10-05 12:58:42.722000-04:00,2020-10-05 16:59:54.889000+00:00,1,72.167,22.77,27,False,0.666666666666667,True,2,1,0,0,0,False,False,False,55071230
PSAXTEE,474133,PRA88DS,1,,Unknown,2020-10-05 12:59:55.993000-04:00,2020-10-05 17:00:07.613000+00:00,1,11.62,11.619,0,True,1.0,True,1,1,0,0,0,False,False,False,55072791
PSAXTEE,474133,PRA88EF,1,,Unknown,2020-10-05 13:00:08.013000-04:00,2020-10-05 17:01:31.629000+00:00,1,83.616,39.462,11,False,0.0,True,3,1,0,0,0,False,False,False,55073071
PSAXTEE,474133,PRA88CT,1,,Unknown,2020-10-05 13:01:32.204000-04:00,2020-10-05 17:01:46.644000+00:00,1,14.44,14.439,22,True,1.0,True,1,1,0,0,0,False,False,False,55074966
PSAXTEE,474133,PRA88CV,1,,Unknown,2020-10-05 13:01:47.070000-04:00,2020-10-05 17:01:53.108000+00:00,1,6.038,6.036,16,True,1.0,True,1,1,0,0,0,False,False,False,55075277
PSAXTEE,474133,PRA88EC,1,,Unknown,2020-10-05 13:01:53.786000-04:00,2020-10-05 17:02:11.005000+00:00,1,17.219,17.217,21,True,1.0,True,1,1,0,0,0,False,False,False,55075423
PSAXTEE,474134,PRA88DX,1,,Unknown,2020-10-05 09:55:10.766000-04:00,2020-10-05 13:55:51.292000+00:00,1,40.526,20.221,16,False,0.666666666666667,True,2,1,0,0,0,False,False,False,54833065
PSAXTEE,474134,PRA88DK,1,,Unknown,2020-10-05 09:55:52.769000-04:00,2020-10-05 13:56:04.568000+00:00,1,11.799,11.795,0,True,1.0,True,1,1,0,0,0,False,False,False,54833834
PSAXTEE,474134,PRA88E3,1,,Unknown,2020-10-05 09:56:06.153000-04:00,2020-10-05 13:57:05.357000+00:00,1,59.204,59.192,20,True,1.0,True,1,1,0,0,0,False,False,False,54834059
PSAXTEE,474134,PRA8FC3,1,,Unknown,2020-10-05 09:57:07.420000-04:00,2020-10-05 14:00:17.340000+00:00,1,189.92,177.915,2,False,0.333333333333333,True,2,1,0,0,0,False,False,False,54835210
PSAXTEE,474134,PRA8FCD,1,,Unknown,2020-10-05 10:00:20.912000-04:00,2020-10-05 14:00:32.363000+00:00,1,11.451,11.449,31,True,1.0,True,1,1,0,0,0,False,False,False,54838926
PSAXTEE,474134,PRA8FCJ,1,,Unknown,2020-10-05 10:00:34.438000-04:00,2020-10-05 14:00:40.985000+00:00,1,6.547,6.544,13,True,1.0,True,1,1,0,0,0,False,False,False,54839201
PSAXTEE,474134,PRA8FEK,1,,Unknown,2020-10-05 10:00:43.324000-04:00,2020-10-05 14:00:52.424000+00:00,1,9.1,9.096,13,True,1.0,True,1,1,0,0,0,False,False,False,54839392
PSAXTEE,474137,PRA8FCZ,1,,Unknown,2020-10-05 12:53:35.327000-04:00,2020-10-05 16:57:02.544000+00:00,1,207.217,15.331,10,False,0.0,False,1,1,0,0,0,False,False,True,55064024
PSAXTEE,474137,PRA8FEP,1,,Unknown,2020-10-05 12:57:02.903000-04:00,2020-10-05 16:57:08.879000+00:00,1,5.976,5.975,14,True,1.0,True,1,1,0,0,0,False,False,False,55068977
PSAXTEE,474137,PRA8FC7,1,,Unknown,2020-10-05 12:57:09.211000-04:00,2020-10-05 16:57:17.294000+00:00,1,8.083,8.081,14,True,1.0,True,1,1,0,0,0,False,False,False,55069129
PSAXTEE,474137,PRA88C8,1,,Unknown,2020-10-05 12:57:17.771000-04:00,2020-10-05 16:57:40.942000+00:00,1,23.171,23.169,17,True,1.0,True,1,1,0,0,0,False,False,False,55069325
PSAXTEE,474138,PRA8FDT,1,,Unknown,2020-10-05 12:50:08.536000-04:00,2020-10-05 16:50:34.732000+00:00,1,26.196,26.193,13,True,1.0,True,1,1,0,0,0,False,False,False,55058960
PSAXTEE,474138,PRA8FCF,1,,Unknown,2020-10-05 12:50:44.436000-04:00,2020-10-05 16:50:55.224000+00:00,1,10.788,10.786,17,True,1.0,True,1,1,0,0,0,False,False,False,55059852
PSAXTEE,474138,PRA88DA,1,,Unknown,2020-10-05 12:50:56.557000-04:00,2020-10-05 16:51:06.802000+00:00,1,10.245,10.243,6,True,1.0,True,1,1,0,0,0,False,False,False,55060176
PSAXTEE,474139,PRA88ER,1,,Unknown,2020-10-05 12:50:21.182000-04:00,2020-10-05 16:52:37.403000+00:00,1,136.221,136.198,20,True,1.0,True,1,1,0,0,0,False,False,False,55059282
PSAXTEE,474139,PRA88DP,1,,Unknown,2020-10-05 12:52:38.181000-04:00,2020-10-05 16:52:59.508000+00:00,1,21.327,21.322,7,True,1.0,True,1,1,0,0,0,False,False,False,55062553
PSAXTEE,474139,PRA8FDD,1,,Unknown,2020-10-05 12:53:00.618000-04:00,2020-10-05 16:53:08.914000+00:00,1,8.296,8.292,11,True,1.0,True,1,1,0,0,0,False,False,False,55063113
PSAXTEE,474142,PRA8FDW,1,,Unknown,2020-10-05 12:49:34.535000-04:00,2020-10-05 16:50:24.228000+00:00,1,49.693,49.69,30,True,1.0,True,1,1,0,0,0,False,False,False,55058172
PSAXTEE,474142,PRA8FDZ,1,,Unknown,2020-10-05 12:50:26.983000-04:00,2020-10-05 16:50:34.493000+00:00,1,7.51,7.508,12,True,1.0,True,1,1,0,0,0,False,False,False,55059430
PSAXTEE,474142,PRA88C6,1,,Unknown,2020-10-05 12:50:35.735000-04:00,2020-10-05 16:50:49.232000+00:00,1,13.497,13.496,24,True,1.0,True,1,1,0,0,0,False,False,False,55059627
PSAXTEE,474174,PRA88DN,1,,Unknown,2020-10-05 12:51:03.575000-04:00,2020-10-05 16:59:20.067000+00:00,1,496.492,496.482,4,True,1.0,True,1,1,0,0,0,False,False,False,55060347
PSAXTEE,474174,PRA88ES,1,,Unknown,2020-10-05 12:59:23.057000-04:00,2020-10-05 17:01:26.501000+00:00,1,123.444,123.441,18,True,1.0,True,1,1,0,0,0,False,False,False,55072089
PSAXTEE,474174,PRA8FDB,1,,Unknown,2020-10-05 13:01:27.452000-04:00,2020-10-05 17:02:11.851000+00:00,1,44.399,29.126,-11,False,0.666666666666667,True,2,1,0,0,0,False,False,False,55074849
PSAXTEE,474174,PRA8FD6,1,,Unknown,2020-10-05 13:02:13.766000-04:00,2020-10-05 17:02:22.716000+00:00,1,8.95,8.948,-13,True,1.0,True,1,1,0,0,0,False,False,False,55075844
PSAXTEE,474174,PRA8FDE,1,,Unknown,2020-10-05 13:02:23.816000-04:00,2020-10-05 17:02:28.152000+00:00,1,4.336,4.335,15,True,1.0,True,1,1,0,0,0,False,False,False,55076069
