experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAYCFH,3565,2020-09-23 08:43:05.782000-04:00,,2020-09-23 12:50:52.695000-04:00,2020-09-23 14:39:15.597000-04:00,1,,,,,,Treatment 2,879.274,293.081333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5566.526,1384.94875,1.0,6195281
PSAYCFH,3571,2020-12-07 09:54:17.552000-05:00,2020-12-11 09:56:00-05:00,2020-12-08 21:33:18.253000-05:00,,1,,,,,,Treatment 1,210.26,19.4313333333333,7.0,1.0,1.0,0.0,2.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,,,,,,10936371
PSAYCFH,3576,2020-09-23 08:43:05.782000-04:00,,2020-09-27 19:27:45.499000-04:00,,1,,,,,,Treatment 2,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6487641
PSAYCFH,3578,2020-09-23 08:43:05.782000-04:00,,2020-09-23 12:52:09.895000-04:00,,1,,,,,,Treatment 2,508.529,161.502333333333,3.0,2.0,,,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6195619
PSAYCFH,3580,2020-09-23 08:43:05.782000-04:00,,2020-09-23 10:49:26.652000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,3.0,1.0,74.938,32.7255,1.0,6166137
PSAYCFH,3581,2020-12-02 09:14:00-05:00,2020-12-03 21:16:00-05:00,2020-12-03 13:23:35.605000-05:00,,5,,,,,,Treatment 1,54915.753,7596.54428571429,7.0,2.0,2.0,1.0,6.0,19.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,,,,,,10643606
PSAYCFH,3586,2020-09-23 08:43:05.782000-04:00,,2020-09-23 10:49:15.403000-04:00,,1,,,,,,Treatment 2,894.85,49.5267,10.0,3.0,3.0,2.0,7.0,17.0,10.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,,,,,,6165886
PSAYCFH,3587,2020-12-02 09:14:00-05:00,2020-12-03 21:16:00-05:00,2020-12-04 05:25:07.329000-05:00,2020-12-04 05:33:59.725000-05:00,1,,,,,,Treatment 1,238.456,79.4793333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,171.618,35.21275,1.0,10685181
PSAYCFH,3590,2020-09-23 08:43:05.782000-04:00,,2020-09-23 12:52:16.121000-04:00,,1,,,,,,Treatment 1,623.756,307.3255,2.0,1.0,,,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6195651
PSAYCFH,3596,2020-12-07 09:54:17.552000-05:00,2020-12-11 09:56:00-05:00,2020-12-07 18:30:18.273000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,10842631
PSAYCFH,3600,2020-09-23 08:43:05.782000-04:00,,2020-09-23 10:56:34.208000-04:00,2020-09-23 11:14:41.265000-04:00,1,,,,,,Treatment 1,493.655,115.93675,4.0,3.0,1.0,,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,507.045,109.52925,1.0,6167750
PSAYCFH,3611,2020-12-02 09:14:00-05:00,2020-12-03 21:16:00-05:00,2020-12-04 08:27:37.370000-05:00,2020-12-04 12:18:53.185000-05:00,1,,,,,,Treatment 2,13671.101,4557.01333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,158.47,35.4545,1.0,10687163
PSAYCFH,3616,2020-09-23 08:43:05.782000-04:00,,2020-09-23 10:11:56.199000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,6157108
