experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAZ5HX,15060,2020-06-07 09:00:00-04:00,,2020-09-14 10:22:38.361000-04:00,2020-09-14 10:23:21.779000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,5281996
PSAZ5HX,22501,2020-06-07 09:00:00-04:00,,2020-09-14 15:19:13.844000-04:00,2020-09-14 15:20:46.525000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,5350515
PSAZ5HX,38426,2021-01-06 09:12:49.734000-05:00,,2021-01-27 13:27:20.090000-05:00,2021-01-28 10:38:50.451000-05:00,2,8.0,4.0,1532.191,191.515375,1.0,Control,74046.599,126.2505,4.0,7.0,4.0,,16.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,8.0,237.383,29.6665,1.0,12691620
PSAZ5HX,52817,2021-01-06 09:40:29.446000-05:00,,2021-01-25 10:45:06.574000-05:00,2021-01-26 10:36:26.434000-05:00,3,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,12519952
PSAZ5HX,117691,2020-06-08 14:35:08.481000-04:00,,2020-06-09 08:46:49.493000-04:00,2020-06-09 09:00:01.759000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3859025
PSAZ5HX,119639,2020-05-27 00:18:00-04:00,2020-05-27 12:20:00-04:00,2020-05-27 03:36:34.511000-04:00,2020-05-27 05:41:31.479000-04:00,1,8.0,8.0,216.662,27.075875,1.0,Treatment 3,6167.15,385.4303125,4.0,8.0,,,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,203.256,25.401,1.0,3621281
PSAZ5HX,119640,2020-05-27 00:18:00-04:00,2020-05-27 12:20:00-04:00,2020-05-27 03:34:24.109000-04:00,2020-05-27 03:57:23.647000-04:00,1,8.0,7.0,177.254,22.154625,1.0,Treatment 4,598.293,49.435,4.0,7.0,,,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,98.571,12.319375,1.0,3621274
PSAZ5HX,119643,2020-05-27 00:18:00-04:00,2020-05-27 12:20:00-04:00,2020-05-27 01:54:55.093000-04:00,,8,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3621036
PSAZ5HX,119650,2020-05-27 00:18:00-04:00,2020-05-27 12:20:00-04:00,2020-05-27 01:04:39.851000-04:00,,4,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3620873
PSAZ5HX,122553,2020-05-03 20:00:17.581000-04:00,2020-05-10 20:02:00-04:00,2020-05-08 10:04:55.231000-04:00,2020-05-08 10:08:28.218000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3026429
