experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAZ5HX,15060,PRABANZT,1,,Unknown,2020-09-14 10:22:39.581000-04:00,2020-09-14 10:22:52.365000-04:00,1,12.784,12.756,5/6,True,1.0,True,1,0,0,0,0,False,False,False,41602912
PSAZ5HX,15060,PRAHVGT,1,,Unknown,2020-09-14 10:22:58.721000-04:00,2020-09-14 10:23:07.898000-04:00,1,9.177,9.159,8 3/5,True,1.0,True,1,1,0,0,0,False,False,False,41603301
PSAZ5HX,15060,PRAHVM9,1,,Unknown,2020-09-14 10:23:09.451000-04:00,2020-09-14 10:23:21.331000-04:00,1,11.88,11.866,6/7,True,1.0,True,1,1,0,0,0,False,False,False,41603521
PSAZ5HX,22501,PRABANZT,1,,Unknown,2020-09-14 15:19:14.086000-04:00,2020-09-14 15:19:37.746000-04:00,1,23.66,23.654,5/6,True,1.0,True,1,0,0,0,0,False,False,False,42056760
PSAZ5HX,22501,PRAHVK4,1,,Unknown,2020-09-14 15:19:39.259000-04:00,2020-09-14 15:20:19.815000-04:00,1,40.556,40.551,27,True,1.0,True,1,1,0,0,0,False,False,False,42057328
PSAZ5HX,22501,PRAHVK5,1,,Unknown,2020-09-14 15:20:20.949000-04:00,2020-09-14 15:20:46.477000-04:00,1,25.528,25.525,282/19,True,1.0,True,1,1,0,0,0,False,False,False,42058209
PSAZ5HX,38426,PRABANZT,1,,Unknown,2021-01-27 13:27:30.195000-05:00,2021-01-27 13:27:58.273000-05:00,1,28.078,28.056,1,False,0.0,True,1,0,0,0,0,False,False,False,96347444
PSAZ5HX,38426,PRABAKWN,1,,Unknown,2021-01-27 13:28:04.377000-05:00,2021-01-27 13:28:09.462000-05:00,1,5.085,5.076,I'm ready to start.,True,1.0,True,1,1,0,0,0,False,False,False,96348061
PSAZ5HX,38426,PRABANP8,1,,Pretest,2021-01-27 13:28:12.244000-05:00,2021-01-27 13:28:34.064000-05:00,1,21.82,21.814,B.,False,0.0,True,1,1,0,0,0,False,False,False,96348212
PSAZ5HX,38426,PRABANP8,2,,Pretest,2021-01-27 13:28:35.143000-05:00,2021-01-27 13:28:43.710000-05:00,1,8.567,8.56,5: Very sure,True,1.0,True,1,0,0,0,0,False,False,False,96348572
PSAZ5HX,38426,PRABANP9,1,,Pretest,2021-01-27 13:28:45.253000-05:00,2021-01-27 13:35:39.884000-05:00,1,414.631,414.627,1/4 of a candy bar is the same size as 1/5 of the same candy bar.,False,0.0,True,1,1,0,0,0,False,False,False,96348760
PSAZ5HX,38426,PRABANP9,2,,Pretest,2021-01-27 13:35:42.247000-05:00,2021-01-27 13:35:46.048000-05:00,1,3.801,3.796,4: Sure,True,1.0,True,1,0,0,0,0,False,False,False,96355951
PSAZ5HX,38426,PRABANQA,1,,Pretest,2021-01-27 13:35:47.645000-05:00,2021-01-27 13:53:33.623000-05:00,1,1065.978,1065.951,C.,False,0.0,True,1,1,0,0,0,False,False,False,96356045
PSAZ5HX,38426,PRABANQA,2,,Pretest,2021-01-27 13:53:34.853000-05:00,2021-01-27 13:53:40.274000-05:00,1,5.421,5.415,5: Very sure,True,1.0,True,1,0,0,0,0,False,False,False,96375095
