experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAZGQM,9811,PRA85V5,1,,Unknown,2020-10-30 22:20:41.653000-04:00,2020-10-30 22:20:43.218000-04:00,1,1.565,1.559,I am ready to start!,True,1.0,True,1,0,0,0,0,False,False,False,68307827
PSAZGQM,9811,PRA8E4J,1,,Treatment 1,2020-10-30 22:20:44.208000-04:00,2020-10-30 22:21:14.709000-04:00,1,30.501,30.494,4,True,1.0,True,1,1,0,0,0,False,False,False,68307830
PSAZGQM,9811,PRA8E4W,1,,Treatment 1,2020-10-30 22:21:15.480000-04:00,2020-10-30 22:21:23.252000-04:00,1,7.772,7.769,2,True,1.0,True,1,1,0,0,0,False,False,False,68307870
PSAZGQM,9811,PRA85DK,1,,Unknown,2020-10-30 22:21:23.757000-04:00,2020-10-30 22:21:26.761000-04:00,1,3.004,2.999,I am ready to do my best,True,1.0,True,1,0,0,0,0,False,False,False,68307878
PSAZGQM,9811,PRA8Q9C,1,,Posttest,2020-10-30 22:21:27.622000-04:00,2020-10-30 22:23:12.177000-04:00,1,104.555,69.59,0,False,0.0,True,2,1,1,0,0,False,False,True,68307880
PSAZGQM,9812,PRA85V5,1,,Unknown,2020-09-10 16:34:40.790000-04:00,2020-09-10 16:34:44.836000-04:00,1,4.046,4.041,I am ready to start!,True,1.0,True,1,0,0,0,0,False,False,False,40514916
PSAZGQM,9812,PRA8GAA,1,,Treatment 2,2020-09-10 16:34:47.124000-04:00,2020-09-10 16:35:21.833000-04:00,1,34.709,34.702,-7,True,1.0,True,1,1,0,0,0,False,False,False,40515009
PSAZGQM,9812,PRA8E6N,1,,Treatment 2,2020-09-10 16:35:22.647000-04:00,2020-09-10 16:36:14.807000-04:00,1,52.16,52.158,-4,True,1.0,True,1,1,0,0,0,False,False,False,40515490
PSAZGQM,9812,PRA8E6T,1,,Treatment 2,2020-09-10 16:36:15.216000-04:00,2020-09-10 16:38:39.760000-04:00,1,144.544,144.541,-3,True,1.0,True,1,1,0,0,0,False,False,False,40516195
PSAZGQM,9812,PRA85DK,1,,Unknown,2020-09-10 16:38:40.201000-04:00,2020-09-10 16:38:42.083000-04:00,1,1.882,1.88,I am ready to do my best,True,1.0,True,1,0,0,0,0,False,False,False,40518051
