experiment_id,dependent_measure,Broken Videos,Unique,No Choice,Choice,Text,Video,Non-Motivational,Motivational,Non-Adaptive,Adaptive,Answer Only,Hint,Video Hint,Example,Video Example,Explanation,Video Explanation,Scaffolding,Video Scaffolding,2 Problems Required For Mastery,3 Problems Required For Mastery,4 Problems Required For Mastery,5 Problems Required For Mastery,Black Text,Red Text ,Blue Text,No Feedback,Common Wrong Answer Feedback,Multiple Choice,Fill-In,No Emotion,Emotion
PSA25TA,posttest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,"treatment1,treatment2,treatment3"
PSA29FC,posttest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control,"treatment1,treatment2,treatment3"
PSA2KKV,posttest,1,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,,,
PSA2KKZ,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA2KMP,posttest,,1,,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,
PSA2KMQ,posttest,,1,,,,,,,"control,control1,treatment1","treatment,control2,treatment2",,,,,,,,,,,,,,,,,,,,,,
PSA2KNM,posttest,1,1,,,,,control,"treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,
PSA2KNP,posttest,1,1,,,,,control,"treatment1,treatment2",,,,control,,,,,,,,,,,,,,,,,,,,
PSA2KNR,posttest,1,1,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,,,
PSA2KNW,posttest,,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSA2KNX,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA2KP9,posttest,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA2KPT,posttest,1,1,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSA2KPV,posttest,,1,,,,,,,control,"treatment,treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,,,,,,
PSA2KQB,posttest,1,1,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,,,
PSA4MS2,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA52JK,posttest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment,control,,
PSA55VC,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment,control,,
PSA59TP,posttest,,1,"control,control1,control2,control3","treatment,treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,control1,control2,control3,,,,,,,,,
PSA59TQ,posttest,,1,,,,,"control1,control2,control3","treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,,,,,,,,
PSA59VC,posttest,,1,,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,
PSA6DUN,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA7GUA,posttest,1,,,,,,"control1,control2,control3","treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,,,,,,,,
PSA98J7,posttest,,,"control1,control2,control3","treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,,,,control1,control2,control3,,,,,,
PSA9XWV,posttest,,1,,,,,control,"treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,
PSABANRN,problems to mastery,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSABARYW,posttest,,,,,,,,,,,,,,,,,,,,,,,,control,,,,,,,,
PSABCXRT,posttest,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSABF5JC,problems to mastery,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAGF4,problems to mastery,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment1,treatment2,,,,
PSAH9CV,problems to mastery,,1,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,,,
PSAHQV,problems to mastery,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment1,treatment2,,,,
PSAJ2EE,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJ43P,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJ4YN,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJ4ZU,problems to mastery,1,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,
PSAJ4ZZ,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJDQG,problems to mastery,,1,,,,,control,treatment,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJDQJ,problems to mastery,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAJJXN,problems to mastery,,1,,,,,control,treatment,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJVP8,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJVPW,problems to mastery,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSAJY7C,problems to mastery,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAKUSU,problems to mastery,1,,,,,,treatment1,"treatment2,treatment3",,,,,,,,,,,,,,,,,,,,,,,,
PSAM4NK,problem set correctness,,,,,,,,,,,,control,,,treatment,,,,,,,,,,,,,,,,,
PSAMC2V,problems to mastery,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAMGHG,problems to mastery,1,,,,,,,,,,"treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,,,,,,
PSAMQJD,problems to mastery,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAMR8Z,problems to mastery,1,,,,,,,,,,,treatment1,,,,,,,,,,,,,,,,,,,,
PSAQJFP,problems to mastery,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAR5JG,problem set correctness,,,,,,,,,,,control,,,,,,,"treatment1,treatment2",,,,,,,,,,,,,,
PSAR9Y9,problems to mastery,,1,,,,,,,control,"control1,treatment,treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,
PSARZX2,problem set correctness,,1,"control,control1,control2","treatment,treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAS25R,problems to mastery,1,,,,,,,,,,,,,,,control,,,,,,,,,,,,,,,,
PSASA4B,posttest,,1,,,,,,,control,"control1,treatment",,,,,,,,,,,,,,,,,,,,,,
PSASA67,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSASDZY,problems to mastery,,1,,,,,,,control,"control1,treatment,treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,
PSASRKH,problems to mastery,1,,,,,,,,,,control1,treatment1,,,,,,treatment2,,,,,,,,,,,,,,
PSATNB2,problems to mastery,,,,,treatment2,treatment4,,,,,treatment1,,,,,,,treatment2,treatment4,,,,,,,,,,,,,
PSATNCQ,problems to mastery,1,,,,,,,,,,control1,treatment1,,,,,,treatment2,,,,,,,,,,,,,,
PSATP2Z,posttest,1,,,,,,,,,,,control,,,,,,,,,,,,,,,,,,,,
PSATZEJ,problems to mastery,,,"control1,control2","treatment1,treatment2",control2,control1,,,,,,control2,control1,,,,,,,,,,,,,,,,,,,
PSAU4JD,problem set correctness,,1,"control,control1,control2","treatment,treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAU5XF,posttest,,1,,,,,,,,,,,,,,,,,,,,,control,,,,,,,,,
PSAU6Y4,problems to mastery,1,,,,,,,,,,treatment1,treatment2,,treatment3,,,,,,,,,,,,,,,,,,
PSAU7GZ,problems to mastery,1,,,,treatment3,treatment4,,,,,treatment1,,,,,treatment2,,treatment3,treatment4,,,,,,,,,,,,,
PSAU85Y,problems to mastery,1,,,,,,,,,,treatment1,,,treatment2,,,,treatment3,,,,,,,,,,,,,,
PSAU88D,problems to mastery,,,,,treatment2,treatment3,,,,,control1,treatment1,,,,,,treatment2,treatment3,,,,,,,,,,,,,
PSAUK57,problems to mastery,1,,,,treatment2,treatment3,,,,,control1,treatment1,,treatment2,treatment3,,,,,,,,,,,,,,,,,
PSAUKPM,problems to mastery,,1,,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,
PSAUKPR,problems to mastery,1,,,,,,,,,,,,,,,treatment2,,,,,,,,,,,,,,,,
PSAUTWT,completion,,,"control1,control2,control3","treatment1,treatment2,treatment3",,,,,,,,,,,,,,,,control1,control2,control3,,,,,,,,,,
PSAUTWU,problem set correctness,,1,"control1,control2","treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAUUKY,problem set correctness,,,"control1,control2","treatment1,treatment2",,,,,,,,"control1,control2",,,,,,,,,,,,,,,,,,,,
PSAV89B,problems to mastery,,,,,,,control,"treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,
PSAVDFE,posttest-pretest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAVK69,posttest-pretest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAVTMK,posttest,,,,,,,,,,,,,,,,,,,,treatment3,control,treatment1,treatment2,,,,,,,,,
PSAWHF4,problems to mastery,1,,"control1,control2","treatment1,treatment2",,,,,,,,,,,,,,control2,,,,,,,,,,,,,,
PSAWU6Z,problems to mastery,,,,,,,control,"treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,
PSAXBAF,posttest,,1,,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,
PSAXD6K,posttest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAXJC2,posttest,,,,,,,,,,,,,,,,,,,,treatment1,control,treatment2,treatment3,,,,,,,,,
PSAXP7W,posttest,,1,,,,,,,control,treatment,,,,,,,,,,,,,,,,,,,,,,
PSAXTEE,problems to mastery,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAYCFH,posttest,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAZ2G4,posttest,,1,"control1,control2","treatment1,treatment2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAZ5HX,posttest-pretest,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAZGQM,posttest,,,,,,,,,,,,,,,,,,,,treatment1,treatment2,treatment3,treatment4,,,,,,,,,
