problem_id,problem_part,scaffold_id,problem_type_id
PRAXT59,1,0.0,11.0
PRAXY32,1,0.0,4.0
PRAXY33,1,0.0,4.0
PRAXY34,1,0.0,4.0
PRAXY35,1,0.0,4.0
PRAXY36,1,0.0,4.0
PRAX7MV,1,0.0,4.0
PRAX7MW,1,0.0,4.0
PRAX5KA,1,0.0,4.0
PRAX5KK,1,0.0,4.0
PRAX5KW,1,0.0,4.0
PRAX5KA,1,940695.0,
PRAX5KA,1,940698.0,
PRAX5KK,1,940724.0,
PRAX5KW,1,940754.0,
PRAX5KW,1,940759.0,
PRAX5NN,1,0.0,4.0
PRAX5NN,1,940835.0,
PRAX5NN,1,940837.0,
PRAX635,1,0.0,4.0
PRAX635,1,942564.0,
PRAX7MX,1,0.0,4.0
PRAX7MY,1,0.0,4.0
PRAX7MZ,1,0.0,4.0
PRAX7M2,1,0.0,4.0
PRAX7M3,1,0.0,4.0
PRAX5KK,1,940749.0,
PRAX7M4,1,0.0,4.0
PRAX7M5,1,0.0,4.0
PRAX635,1,942584.0,
PRAX7M6,1,0.0,4.0
PRAX7M7,1,0.0,4.0
PRAX7M8,1,0.0,4.0
PRAX7M9,1,0.0,4.0
PRAX7NA,1,0.0,4.0
PRAX7NB,1,0.0,4.0
PRAX7NC,1,0.0,4.0
PRAX7ND,1,0.0,4.0
PRAX7NE,1,0.0,4.0
PRAX7NF,1,0.0,4.0
PRAX7NG,1,0.0,4.0
PRAX7NH,1,0.0,4.0
PRAX7NJ,1,0.0,4.0
PRAX7NK,1,0.0,4.0
PRAX7NM,1,0.0,4.0
PRAX7NN,1,0.0,4.0
PRAX7NP,1,0.0,4.0
PRAX7NQ,1,0.0,4.0
PRAX7NR,1,0.0,4.0
PRAX7NS,1,0.0,4.0
PRAX7NT,1,0.0,4.0
PRA4N7W,1,0.0,1.0
PRA4ZB7,1,0.0,1.0
PRA3SRS,1,0.0,5.0
PRA3SRJ,1,0.0,5.0
PRA3SQ9,1,0.0,5.0
PRA5Z27,1,0.0,1.0
PRA4N74,1,0.0,5.0
PRA3SJV,1,0.0,5.0
PRA4N77,1,0.0,5.0
PRA3SRN,1,0.0,5.0
PRA3SQ6,1,0.0,5.0
PRA3SRE,1,0.0,5.0
PRA4PBV,1,0.0,5.0
