dataset,model,dataset_short,label,n_task_wins
assistments_rct88,scm_causal,RCT88/89,SCM-Causal,39
assistments_rct88,rcgan,RCT88/89,RCGAN,20
assistments_rct88,vae,RCT88/89,VAE,2
assistments_rct88,diffusion,RCT88/89,Diffusion,3
assistments_rct88,crn,RCT88/89,CRN,14
assistments_rct88,timegan,RCT88/89,TimeGAN,8
assistments_las2016,scm_causal,LAS2016,SCM-Causal,6
assistments_las2016,rcgan,LAS2016,RCGAN,3
assistments_las2016,vae,LAS2016,VAE,4
assistments_las2016,diffusion,LAS2016,Diffusion,6
assistments_las2016,crn,LAS2016,CRN,1
assistments_las2016,timegan,LAS2016,TimeGAN,2
assistments_abtest_study2,scm_causal,Study2,SCM-Causal,6
assistments_abtest_study2,rcgan,Study2,RCGAN,0
assistments_abtest_study2,vae,Study2,VAE,0
assistments_abtest_study2,diffusion,Study2,Diffusion,5
assistments_abtest_study2,crn,Study2,CRN,0
assistments_abtest_study2,timegan,Study2,TimeGAN,0
