model,label,n_estimates,ate_abs_err,ate_rmse,ate_bias,policy_value_abs_err,policy_regret,fixed_policy_value_abs_err,pehe,mae,rmse,bias,median_abs_error,sign_accuracy,pearson,spearman,dataset,dataset_label,dataset_short
scm_causal,SCM-Causal,258,0.0368514321554916,0.0473821400885775,-0.0072561225284064,0.0324732451047259,0.0083300382873347,0.0302379464466578,,0.0368514321554916,0.0473821400885775,-0.0072561225284064,0.0290923254271442,0.7248062015503876,0.7897845004865176,0.6799637279251757,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
rcgan,RCGAN,258,0.0495919468916838,0.064637584249543,0.0275834837923477,0.1411355738245327,0.0116214364546304,0.1431411216290157,,0.0495919468916838,0.064637584249543,0.0275834837923477,0.0406362744875557,0.6472868217054264,0.7019408900762679,0.5926167330259455,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
vae,VAE,258,0.0554409743241897,0.0758521266426672,-0.0118129039045658,0.0707004668733168,0.0212305317349833,0.0700239216602409,,0.0554409743241897,0.0758521266426672,-0.0118129039045658,0.0354256275078861,0.5387596899224806,0.2023787807620373,0.173557666456477,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
diffusion,Diffusion,258,0.0554230979368967,0.0757124637443196,-0.0133056663712403,0.1770740461559238,0.016602800469002,0.1688086136503324,,0.0554230979368967,0.0757124637443196,-0.0133056663712403,0.033707846022012,0.5697674418604651,0.2407402394179827,0.2440411617224169,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
crn,CRN,258,0.0484369318952908,0.0640261273748356,-0.0036512755625469,0.0319012396500686,0.0139639308157045,0.0338059220413958,,0.0484369318952908,0.0640261273748356,-0.0036512755625469,0.037565237944839,0.6356589147286822,0.5433561402510767,0.4389667386982567,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
timegan,TimeGAN,258,0.0561765167363653,0.0765101711938669,-0.0119449117933316,0.0964691077397521,0.0253550744728669,0.0960246385589539,,0.0561765167363653,0.0765101711938669,-0.0119449117933316,0.0386493517232603,0.5232558139534884,0.0759542960921226,0.0588330362043131,assistments_rct88,ASSISTments expanded RCT release,RCT88/89
scm_causal,SCM-Causal,66,0.0215231047887499,0.025795297268728,0.0073800289280549,0.018891713784116,0.0055804425279978,0.0179619311247831,,0.0215231047887499,0.025795297268728,0.0073800289280549,0.0194912961228981,0.7121212121212122,0.3552218440582129,0.3522075828646046,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
rcgan,RCGAN,66,0.023175041725494,0.0282437393189503,0.0055023862178188,0.0293123668037499,0.0078717209332839,0.0290714970067349,,0.023175041725494,0.0282437393189503,0.0055023862178188,0.0214696438675229,0.6818181818181818,0.1503006923142303,0.1273062112116056,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
vae,VAE,66,0.0201424675014692,0.0249308286432984,0.0072265689222543,0.0586862403790725,0.0042326777092117,0.0596011998007826,,0.0201424675014692,0.0249308286432984,0.0072265689222543,0.0192174344838853,0.7727272727272727,0.1607915168492034,0.1410961503876535,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
diffusion,Diffusion,66,0.0290163245246772,0.0357909136920177,-0.0202006838761029,0.1994712408387014,0.0047323266045825,0.2100837741068782,,0.0290163245246772,0.0357909136920177,-0.0202006838761029,0.0227317277324154,0.7575757575757576,0.0494886794489375,0.0824262273477407,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
crn,CRN,66,0.0221648269252305,0.0263487280829911,0.0112418081369419,0.0200828930913907,0.0084718636843382,0.0191489350682214,,0.0221648269252305,0.0263487280829911,0.0112418081369419,0.0220857374779182,0.6060606060606061,0.2842436612598901,0.2739810188113876,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
timegan,TimeGAN,66,0.0266073634042572,0.0314648375535017,0.0178510873380691,0.066824116989061,0.011607678214282,0.0673266674648711,,0.0266073634042572,0.0314648375535017,0.0178510873380691,0.0242013705551414,0.4848484848484848,0.0176914631268662,0.0682601989214369,assistments_las2016,LAS2016 22 randomized experiments,LAS2016
scm_causal,SCM-Causal,33,0.0426720914535294,0.0561276229493072,0.0076014238568777,0.0318589395332712,0.0117034466595851,0.0321333132710286,,0.0426720914535294,0.0561276229493072,0.0076014238568777,0.0311878146834596,0.7272727272727273,0.5699532931146449,0.6440835531200693,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
rcgan,RCGAN,33,0.0485819065728305,0.062016495403843,0.0221024032527748,0.0604779651698197,0.0075550294676896,0.0633752886425748,,0.0485819065728305,0.062016495403843,0.0221024032527748,0.036493748558001,0.7878787878787878,0.7413635116511975,0.6360325087060684,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
vae,VAE,33,0.0513254657114838,0.0661153147540463,0.0131685849033754,0.0551304809270108,0.0141783323824992,0.059878564359302,,0.0513254657114838,0.0661153147540463,0.0131685849033754,0.0371328096553977,0.6363636363636364,0.4731803975755997,0.2938631211110316,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
diffusion,Diffusion,33,0.050728678734941,0.0702494417690372,-0.020461064895284,0.2073348601637121,0.0141783323824992,0.2175653926113542,,0.050728678734941,0.0702494417690372,-0.020461064895284,0.0319366626232767,0.6363636363636364,0.1564609626971638,0.2425377129717761,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
crn,CRN,33,0.0535633733388498,0.0714292689872249,0.0286251662611036,0.0392057908894554,0.0211503999600935,0.0327629993296932,,0.0535633733388498,0.0714292689872249,0.0286251662611036,0.0385042926277945,0.6363636363636364,0.2400844552716057,0.2666908462137787,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
timegan,TimeGAN,33,0.058713095381082,0.0757934721813103,0.0344430573270205,0.0564915644075569,0.0357656872560749,0.0560940491807694,,0.058713095381082,0.0757934721813103,0.0344430573270205,0.0478276180285316,0.3939393939393939,0.0062987611423952,0.0583700720015062,assistments_abtest_study2,ASSISTments OSF Study2 A/B tests,Study2
