task_key,task_id,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,true_ate,true_ate_normalized,y_rate
694143||Control vs. Treatment||completion,0,694143,Control vs. Treatment,completion,Control,855,404,451,0.7326732673267327,0.6917960088691796,-0.04087725845755308,-0.04087725845755308,0.7111111111111111
694165||Control vs. Treatment||completion,1,694165,Control vs. Treatment,completion,Control,505,259,246,0.8185328185328186,0.8495934959349594,0.0310606774021408,0.0310606774021408,0.8336633663366336
694197||Control vs. Treatment||completion,2,694197,Control vs. Treatment,completion,Control,1831,931,900,0.6079484425349087,0.6366666666666667,0.028718224131758063,0.028718224131758063,0.6220644456581104
694202||Control vs. Treatment||completion,3,694202,Control vs. Treatment,completion,Control,166,74,92,0.9054054054054054,0.8369565217391305,-0.06844888366627488,-0.06844888366627488,0.8674698795180723
694203||Control vs. Treatment||completion,4,694203,Control vs. Treatment,completion,Control,508,242,266,0.8099173553719008,0.7631578947368421,-0.04675946063505865,-0.04675946063505865,0.7854330708661418
694244||Control vs. Treatment||completion,5,694244,Control vs. Treatment,completion,Control,26,15,11,0.7333333333333333,0.5454545454545454,-0.18787878787878787,-0.18787878787878787,0.6538461538461539
714180||Control vs. Treatment||completion,6,714180,Control vs. Treatment,completion,Control,157,76,81,0.618421052631579,0.7037037037037037,0.08528265107212474,0.08528265107212474,0.6624203821656051
754873||Control vs. Treatment||completion,7,754873,Control vs. Treatment,completion,Control,472,228,244,0.6798245614035088,0.6352459016393442,-0.04457865976416453,-0.04457865976416453,0.6567796610169492
796926||Control vs. Treatment||completion,8,796926,Control vs. Treatment,completion,Control,955,492,463,0.7947154471544715,0.8056155507559395,0.01090010360146798,0.01090010360146798,0.8
800112||Control vs. Treatment||completion,9,800112,Control vs. Treatment,completion,Control,557,269,288,0.6468401486988847,0.5902777777777778,-0.05656237092110694,-0.05656237092110694,0.6175942549371634
803956||Control vs. Treatment||completion,10,803956,Control vs. Treatment,completion,Control,954,478,476,0.7552301255230126,0.7289915966386554,-0.026238528884357182,-0.026238528884357182,0.7421383647798742
