task_key,seed,n_full,n_biased,n0_biased,n1_biased,retention
226210||Control vs. Experiment||completion,42,1185,631,329,302,0.5324894514767933
237447||Control vs. Experiment||completion,42,692,373,183,190,0.5390173410404624
241501||Control vs. Experiment||completion,42,381,212,104,108,0.5564304461942258
241622||Control vs. Experiment||completion,42,627,327,181,146,0.5215311004784688
243393||Control vs. Experiment||completion,42,1797,961,500,461,0.5347801892042293
246482||Control vs. Experiment||completion,42,457,260,133,127,0.5689277899343544
246627||Control vs. Experiment||completion,42,514,285,162,123,0.5544747081712063
246647||Control vs. Experiment||completion,42,538,293,156,137,0.5446096654275093
250476||Control vs. Experiment||completion,42,402,212,104,108,0.527363184079602
255116||Control vs. Experiment||completion,42,534,285,142,143,0.5337078651685393
256017||Control vs. Experiment||completion,42,412,222,101,121,0.5388349514563107
256027||Control vs. Experiment||completion,42,335,176,92,84,0.5253731343283582
259379||Control vs. Experiment||completion,42,497,257,125,132,0.5171026156941649
263015||Control vs. Experiment||completion,42,704,360,174,186,0.5113636363636364
263052||Control vs. Experiment||completion,42,523,255,132,123,0.4875717017208413
263057||Control vs. Experiment||completion,42,136,67,33,34,0.49264705882352944
263109||Control vs. Experiment||completion,42,428,242,132,110,0.5654205607476636
263115||Control vs. Experiment||completion,42,754,379,191,188,0.5026525198938993
293151||Control vs. Experiment||completion,42,1259,664,365,299,0.5274027005559968
303899||Control vs. Experiment||completion,42,1917,1019,514,505,0.5315597287428273
377658||Control vs. Experiment||completion,42,429,210,98,112,0.48951048951048953
377938||Control vs. Experiment||completion,42,426,234,117,117,0.5492957746478874
226210||Control vs. Experiment||completion,43,1185,616,328,288,0.5198312236286919
237447||Control vs. Experiment||completion,43,692,353,182,171,0.5101156069364162
241501||Control vs. Experiment||completion,43,381,197,102,95,0.5170603674540682
241622||Control vs. Experiment||completion,43,627,357,195,162,0.569377990430622
243393||Control vs. Experiment||completion,43,1797,931,487,444,0.5180856983861992
246482||Control vs. Experiment||completion,43,457,231,120,111,0.5054704595185996
246627||Control vs. Experiment||completion,43,514,272,141,131,0.5291828793774319
246647||Control vs. Experiment||completion,43,538,289,143,146,0.5371747211895911
250476||Control vs. Experiment||completion,43,402,204,99,105,0.5074626865671642
255116||Control vs. Experiment||completion,43,534,279,135,144,0.5224719101123596
256017||Control vs. Experiment||completion,43,412,205,99,106,0.4975728155339806
256027||Control vs. Experiment||completion,43,335,164,91,73,0.48955223880597015
259379||Control vs. Experiment||completion,43,497,248,129,119,0.49899396378269617
263015||Control vs. Experiment||completion,43,704,367,193,174,0.5213068181818182
263052||Control vs. Experiment||completion,43,523,261,142,119,0.49904397705544934
263057||Control vs. Experiment||completion,43,136,68,36,32,0.5
263109||Control vs. Experiment||completion,43,428,231,135,96,0.5397196261682243
263115||Control vs. Experiment||completion,43,754,378,192,186,0.5013262599469496
293151||Control vs. Experiment||completion,43,1259,643,335,308,0.5107227958697379
303899||Control vs. Experiment||completion,43,1917,947,504,443,0.49400104329681793
377658||Control vs. Experiment||completion,43,429,198,96,102,0.46153846153846156
377938||Control vs. Experiment||completion,43,426,225,126,99,0.528169014084507
226210||Control vs. Experiment||completion,44,1185,663,360,303,0.5594936708860759
237447||Control vs. Experiment||completion,44,692,326,153,173,0.47109826589595377
241501||Control vs. Experiment||completion,44,381,201,97,104,0.5275590551181102
241622||Control vs. Experiment||completion,44,627,323,180,143,0.5151515151515151
243393||Control vs. Experiment||completion,44,1797,922,480,442,0.5130773511407902
246482||Control vs. Experiment||completion,44,457,258,120,138,0.5645514223194749
246627||Control vs. Experiment||completion,44,514,261,141,120,0.5077821011673151
246647||Control vs. Experiment||completion,44,538,281,143,138,0.5223048327137546
250476||Control vs. Experiment||completion,44,402,217,113,104,0.5398009950248757
255116||Control vs. Experiment||completion,44,534,287,139,148,0.5374531835205992
256017||Control vs. Experiment||completion,44,412,218,108,110,0.529126213592233
256027||Control vs. Experiment||completion,44,335,198,105,93,0.591044776119403
259379||Control vs. Experiment||completion,44,497,273,141,132,0.5492957746478874
263015||Control vs. Experiment||completion,44,704,369,200,169,0.5241477272727273
263052||Control vs. Experiment||completion,44,523,298,151,147,0.5697896749521989
263057||Control vs. Experiment||completion,44,136,80,42,38,0.5882352941176471
263109||Control vs. Experiment||completion,44,428,232,117,115,0.5420560747663551
263115||Control vs. Experiment||completion,44,754,400,197,203,0.5305039787798409
293151||Control vs. Experiment||completion,44,1259,646,349,297,0.5131056393963463
303899||Control vs. Experiment||completion,44,1917,1073,539,534,0.5597287428273344
377658||Control vs. Experiment||completion,44,429,235,102,133,0.5477855477855478
377938||Control vs. Experiment||completion,44,426,219,116,103,0.5140845070422535
