task_key,task_id,experiment_id,independent_measure_pair,dependent_measure,category,n,n0,n1,true_value_t0,true_value_t1,true_ate,true_ate_normalized,y_rate
226210||Control vs. Experiment||completion,0,226210,Control vs. Experiment,completion,Control,1185,607,578,0.6803953871499177,0.6349480968858131,-0.045447290264104545,-0.045447290264104545,0.6582278481012658
237447||Control vs. Experiment||completion,1,237447,Control vs. Experiment,completion,Control,692,329,363,0.9848024316109423,0.9586776859504132,-0.026124745660529025,-0.026124745660529025,0.9710982658959537
241501||Control vs. Experiment||completion,2,241501,Control vs. Experiment,completion,Control,381,188,193,0.8936170212765957,0.8497409326424871,-0.043876088634108634,-0.043876088634108634,0.8713910761154856
241622||Control vs. Experiment||completion,3,241622,Control vs. Experiment,completion,Control,627,338,289,0.8816568047337278,0.8373702422145328,-0.04428656251919494,-0.04428656251919494,0.861244019138756
243393||Control vs. Experiment||completion,4,243393,Control vs. Experiment,completion,Control,1797,910,887,0.7329670329670329,0.7170236753100339,-0.015943357656999058,-0.015943357656999058,0.7250973845297718
246482||Control vs. Experiment||completion,5,246482,Control vs. Experiment,completion,Control,457,225,232,0.7333333333333333,0.7413793103448276,0.008045977011494343,0.008045977011494343,0.737417943107221
246627||Control vs. Experiment||completion,6,246627,Control vs. Experiment,completion,Control,514,279,235,0.7240143369175627,0.6936170212765957,-0.030397315640966927,-0.030397315640966927,0.7101167315175098
246647||Control vs. Experiment||completion,7,246647,Control vs. Experiment,completion,Control,538,264,274,0.8446969696969697,0.8467153284671532,0.002018358770183526,0.002018358770183526,0.845724907063197
250476||Control vs. Experiment||completion,8,250476,Control vs. Experiment,completion,Control,402,193,209,0.8911917098445595,0.9330143540669856,0.0418226442224261,0.0418226442224261,0.9129353233830846
255116||Control vs. Experiment||completion,9,255116,Control vs. Experiment,completion,Control,534,258,276,0.8217054263565892,0.7971014492753623,-0.024603977081226858,-0.024603977081226858,0.8089887640449438
256017||Control vs. Experiment||completion,10,256017,Control vs. Experiment,completion,Control,412,199,213,0.8492462311557789,0.8779342723004695,0.02868804114469059,0.02868804114469059,0.8640776699029126
256027||Control vs. Experiment||completion,11,256027,Control vs. Experiment,completion,Control,335,165,170,0.9212121212121213,0.888235294117647,-0.03297682709447425,-0.03297682709447425,0.9044776119402985
259379||Control vs. Experiment||completion,12,259379,Control vs. Experiment,completion,Control,497,239,258,0.5355648535564853,0.4844961240310077,-0.051068729525477585,-0.051068729525477585,0.5090543259557344
263015||Control vs. Experiment||completion,13,263015,Control vs. Experiment,completion,Control,704,360,344,0.8805555555555555,0.875,-0.005555555555555536,-0.005555555555555536,0.8778409090909091
263052||Control vs. Experiment||completion,14,263052,Control vs. Experiment,completion,Control,523,267,256,0.6254681647940075,0.6171875,-0.008280664794007464,-0.008280664794007464,0.621414913957935
263057||Control vs. Experiment||completion,15,263057,Control vs. Experiment,completion,Control,136,69,67,0.9130434782608695,0.8656716417910447,-0.04737183646982479,-0.04737183646982479,0.8897058823529411
263109||Control vs. Experiment||completion,16,263109,Control vs. Experiment,completion,Control,428,231,197,0.922077922077922,0.9086294416243654,-0.013448480453556622,-0.013448480453556622,0.9158878504672897
263115||Control vs. Experiment||completion,17,263115,Control vs. Experiment,completion,Control,754,370,384,0.8324324324324325,0.8203125,-0.012119932432432479,-0.012119932432432479,0.8262599469496021
293151||Control vs. Experiment||completion,18,293151,Control vs. Experiment,completion,Control,1259,649,610,0.8628659476117103,0.8754098360655738,0.01254388845386345,0.01254388845386345,0.868943606036537
303899||Control vs. Experiment||completion,19,303899,Control vs. Experiment,completion,Control,1917,956,961,0.9361924686192469,0.9292403746097815,-0.006952094009465393,-0.006952094009465393,0.9327073552425665
377658||Control vs. Experiment||completion,20,377658,Control vs. Experiment,completion,Control,429,201,228,0.9701492537313433,0.9473684210526315,-0.022780832678711782,-0.022780832678711782,0.958041958041958
377938||Control vs. Experiment||completion,21,377938,Control vs. Experiment,completion,Control,426,215,211,0.9255813953488372,0.919431279620853,-0.0061501157279841845,-0.0061501157279841845,0.9225352112676056
