model,dependent_measure,mae,rmse
scm_causal,completion,0.02698766078729516,0.03392861828711591
scm_causal,posttest,0.03226914314286437,0.04121530293577494
scm_causal,problem set correctness,0.03321329984557438,0.042121092045576965
scm_causal,problems to mastery,0.04340392304933459,0.05499331753819198
rcgan,completion,0.04036547964325989,0.05061905412815755
rcgan,posttest,0.04072147646093601,0.05233539855536608
rcgan,problem set correctness,0.0596144413299809,0.07771832505550613
rcgan,problems to mastery,0.05679184828016004,0.07283302153849236
vae,completion,0.03673242273060731,0.04866365372324268
vae,posttest,0.03385683940958449,0.04431615785612955
vae,problem set correctness,0.05126296495469698,0.06895220740850586
vae,problems to mastery,0.07940285444052844,0.10019402760670296
diffusion,completion,0.03787020929995735,0.04573725489861808
diffusion,posttest,0.03404773303494016,0.044544242012637396
diffusion,problem set correctness,0.05144930578341182,0.06913459112048337
diffusion,problems to mastery,0.07898164777837091,0.1000083775256413
crn,completion,0.03829438191561253,0.046171622029436706
crn,posttest,0.03496649479886351,0.045790546653888
crn,problem set correctness,0.05513041674550262,0.06766335798457013
crn,problems to mastery,0.06092170715532984,0.07837755291262889
timegan,completion,0.038712532621127504,0.05111104879395889
timegan,posttest,0.034862699062923753,0.04585776859431058
timegan,problem set correctness,0.052644567871967494,0.06929036923151188
timegan,problems to mastery,0.07955735670734437,0.10047892404957139
