experiment_id,has_condition_metadata,has_raw_folder,n_assignment_logs,n_problem_logs,n_student_logs
PSA25TA,True,True,1,1,1
PSA29FC,True,True,1,1,1
PSA2KKV,True,True,1,1,1
PSA2KKZ,True,True,1,1,1
PSA2KMP,True,True,1,1,1
PSA2KMQ,True,True,1,1,1
PSA2KNM,True,True,1,1,1
PSA2KNP,True,True,1,1,1
PSA2KNR,True,True,1,1,1
PSA2KNW,True,True,1,1,1
PSA2KNX,True,True,1,1,1
PSA2KP9,True,True,1,1,1
PSA2KPT,True,True,1,1,1
PSA2KPV,True,True,1,1,1
PSA2KQB,True,True,1,1,1
PSA4MS2,True,True,1,1,1
PSA52JK,True,True,1,1,1
PSA55VC,True,True,1,1,1
PSA59TP,True,True,1,1,1
PSA59TQ,True,True,1,1,1
PSA59VC,True,True,1,1,1
PSA6DUN,True,True,1,1,1
PSA7GUA,True,True,1,1,1
PSA98J7,True,True,1,1,1
PSA9XWV,True,True,1,1,1
PSABANRN,True,True,1,1,1
PSABARYW,True,True,1,1,1
PSABCXRT,True,True,1,1,1
PSABF5JC,True,True,1,1,1
PSAGF4,True,True,1,1,1
PSAH9CV,True,True,1,1,1
PSAHQV,True,True,1,1,1
PSAJ2EE,True,True,1,1,1
PSAJ43P,True,True,1,1,1
PSAJ4YN,True,True,1,1,1
PSAJ4ZU,True,True,1,1,1
PSAJ4ZZ,True,True,1,1,1
PSAJDQG,True,True,1,1,1
PSAJDQJ,True,True,1,1,1
PSAJJXN,True,True,1,1,1
PSAJVP8,True,True,1,1,1
PSAJVPW,True,True,1,1,1
PSAJY7C,True,True,1,1,1
PSAKUSU,True,True,1,1,1
PSAM4NK,True,True,1,1,1
PSAMC2V,True,True,1,1,1
PSAMGHG,True,False,0,0,0
PSAMQJD,True,False,0,0,0
PSAMR8Z,True,True,1,1,1
PSAQJFP,True,True,1,1,1
PSAR5JG,True,True,1,1,1
PSAR9Y9,True,True,1,1,1
PSARZX2,True,True,1,1,1
PSAS25R,True,True,1,1,1
PSASA4B,True,True,1,1,1
PSASA67,True,True,1,1,1
PSASDZY,True,True,1,1,1
PSASRKH,True,True,1,1,1
PSATNB2,True,True,1,1,1
PSATNCQ,True,True,1,1,1
PSATP2Z,True,True,1,1,1
PSATZEJ,True,True,1,1,1
PSAU4JD,True,True,1,1,1
PSAU5XF,True,True,1,1,1
PSAU6Y4,True,True,1,1,1
PSAU7GZ,True,True,1,1,1
PSAU85Y,True,True,1,1,1
PSAU88D,True,True,1,1,1
PSAUK57,True,True,1,1,1
PSAUKPM,True,True,1,1,1
PSAUKPR,True,True,1,1,1
PSAUTWT,True,True,1,1,1
PSAUTWU,True,True,1,1,1
PSAUUKY,True,True,1,1,1
PSAV89B,True,True,1,1,1
PSAVDFE,True,True,1,1,1
PSAVK69,True,True,1,1,1
PSAVTMK,True,True,1,1,1
PSAWHF4,True,True,1,1,1
PSAWU6Z,True,True,1,1,1
PSAXBAF,True,True,1,1,1
PSAXD6K,True,True,1,1,1
PSAXJC2,True,True,1,1,1
PSAXP7W,True,True,1,1,1
PSAXTEE,True,True,1,1,1
PSAYCFH,True,True,1,1,1
PSAYN42,False,True,1,1,1
PSAZ2G4,True,True,1,1,1
PSAZ5HX,True,True,1,1,1
PSAZGQM,True,True,1,1,1
