model,ref_estimator,dataset,t0,horizon,subgroup,action,ref_mu_0,ref_mu_1,ref_mu_2,ref_mu_3,ref_mu_4,ref_mu_5,ref_ci_low_0,ref_ci_low_1,ref_ci_low_2,ref_ci_low_3,ref_ci_low_4,ref_ci_low_5,ref_ci_high_0,ref_ci_high_1,ref_ci_high_2,ref_ci_high_3,ref_ci_high_4,ref_ci_high_5,gen_mu_0,gen_mu_1,gen_mu_2,gen_mu_3,gen_mu_4,gen_mu_5,gen_std_0,gen_std_1,gen_std_2,gen_std_3,gen_std_4,gen_std_5,n_effective
scm,gformula,oulad,0,5,all,0,0.5369147062301636,0.5486555099487305,0.5557735562324524,0.5598600506782532,0.5620762705802917,0.5631988644599915,0.536817193031311,0.5485236048698425,0.5555970668792725,0.5596902370452881,0.5619158744812012,0.5630496144294739,0.537002444267273,0.5487863421440125,0.555948793888092,0.5600244998931885,0.562225878238678,0.5633725523948669,0.9842002822551329,0.9850246718074592,0.9848980542174643,0.9776598859783266,0.9848735174435651,0.9853883027510342,2.220446049250313e-16,2.656627506220638e-06,4.55475002348636e-06,1.0671926672562845e-05,2.4596119128590455e-05,2.1965216453565897e-05,4233
scm,gformula,oulad,0,5,all,1,0.5367085933685303,0.5483602285385132,0.5555441379547119,0.5596635937690735,0.5619645118713379,0.5632087588310242,0.5366101861000061,0.5482226610183716,0.5553962588310242,0.5594906210899353,0.5617846250534058,0.5630305409431458,0.5368110537528992,0.5484883785247803,0.5557259917259216,0.5598404407501221,0.5621891617774963,0.5633941888809204,0.984129728759515,0.9853722506758735,0.985274600105423,0.9781827812168598,0.9853114949520467,0.985662336632652,1.1102230246251565e-16,1.6883241261589983e-06,2.5164756110696694e-06,5.5651077628525474e-06,1.50105534691846e-05,2.220397542019301e-05,4233
scm,gformula,oulad,0,5,low,0,0.5367197394371033,0.548235297203064,0.5551391839981079,0.5591114163398743,0.5613002181053162,0.5623008608818054,0.5365864634513855,0.5480539202690125,0.5549459457397461,0.5588709115982056,0.5610561966896057,0.5620577931404114,0.5368505120277405,0.5484178066253662,0.5553333759307861,0.5593196749687195,0.5615559220314026,0.5625178813934326,0.984389008765087,0.9849821628723493,0.985009987165037,0.976468108991782,0.9849474106478333,0.985324517394176,2.220446049250313e-16,4.18325713520654e-06,7.49031946633869e-06,1.6477868320287256e-05,3.488599232281692e-05,3.3432034603307274e-05,2315
scm,gformula,oulad,0,5,low,1,0.5366200804710388,0.5479390025138855,0.5549411177635193,0.5589525103569031,0.5611820220947266,0.5621397495269775,0.5364626049995422,0.5477709770202637,0.5546996593475342,0.558711588382721,0.5609803199768066,0.5619046688079834,0.5367643237113953,0.5481087565422058,0.5551427006721497,0.559188961982727,0.5614110827445984,0.5623679161071777,0.9843193700195132,0.9853360180875397,0.9853899954732499,0.9770114082405825,0.9853864291073678,0.9856113864470366,1.1102230246251565e-16,1.9826294244841673e-06,3.182787356570607e-06,9.285800486929399e-06,1.5364230117533865e-05,2.1984670443806376e-05,2315
scm,gformula,oulad,0,5,high,0,0.5371906161308289,0.5491642951965332,0.556525707244873,0.5607037544250488,0.5631361603736877,0.5644215941429138,0.5370548963546753,0.5489294528961182,0.5563315749168396,0.5604954957962036,0.5629084706306458,0.5641781091690063,0.5373390316963196,0.5493914484977722,0.5567260980606079,0.5609601140022278,0.563399076461792,0.5646694302558899,0.9839724919159544,0.9850741137786378,0.9847612420790387,0.9790967590591757,0.9847774943314175,0.9854681265632221,0.0,3.716755813569032e-06,7.629099425191831e-06,1.6081125440187708e-05,2.3797778824750178e-05,4.2611044752545564e-05,1918
scm,gformula,oulad,0,5,high,1,0.537115752696991,0.5489811301231384,0.5562779903411865,0.5604252815246582,0.5628831386566162,0.564304530620575,0.5369758009910583,0.5487930774688721,0.5560609698295593,0.5601658225059509,0.5626214742660522,0.564058780670166,0.537256121635437,0.5491592288017273,0.5565477609634399,0.560653567314148,0.5631177425384521,0.564570963382721,0.9839008343294339,0.985414351010161,0.985136967881877,0.9795783133085287,0.9852240667577586,0.9857249442171208,2.220446049250313e-16,2.67154082973212e-06,3.9312611124620534e-06,9.239835452095441e-06,2.5916733459111443e-05,5.264621509969447e-05,1918
scm,gformula,oulad,5,5,all,0,0.5650885105133057,0.5652503967285156,0.5649064183235168,0.564704418182373,0.5643205046653748,0.5641047358512878,0.5649226903915405,0.565065860748291,0.5647077560424805,0.5645456314086914,0.5641257166862488,0.5639238357543945,0.5652639269828796,0.5654265284538269,0.5650995373725891,0.5648956894874573,0.5644924640655518,0.56427001953125,0.9856033010859353,0.9854615415580013,0.9859794118070353,0.9857664877070118,0.9852307486387349,0.9856823077147572,3.0478837574494043e-05,4.704335744866387e-06,1.3372647266487934e-05,6.2460183211989145e-06,5.797783835744988e-06,5.524204338438018e-05,4233
scm,gformula,oulad,5,5,all,1,0.5644256472587585,0.5645462274551392,0.5645034909248352,0.5644603967666626,0.564077615737915,0.5640391111373901,0.5642380118370056,0.5643594861030579,0.5643026828765869,0.5643061399459839,0.5638977885246277,0.5638563632965088,0.5646044015884399,0.5647369027137756,0.5646743178367615,0.56462562084198,0.5642406344413757,0.5641926527023315,0.9855527218335712,0.9856188939115581,0.9860133184309691,0.9857940745308198,0.9852301101657664,0.9857026539146432,1.9383455447525103e-05,2.48429326406736e-06,1.7312483768934013e-05,4.4012089966782755e-06,5.233097379091051e-06,1.5447227919697072e-05,4233
scm,gformula,oulad,5,5,low,0,0.5639693737030029,0.564058244228363,0.5638020038604736,0.5638631582260132,0.5633705854415894,0.5631023049354553,0.56373530626297,0.5638117790222168,0.5635393261909485,0.5636547803878784,0.5631727576255798,0.5629033446311951,0.564211368560791,0.5643380880355835,0.564026415348053,0.5640654563903809,0.5635823011398315,0.5633201599121094,0.9855558823156871,0.9851561257399786,0.9860165584771801,0.9856401152448168,0.9848917356105684,0.9858479772134489,2.436650916407334e-05,5.928431446022642e-06,2.4744477016765086e-05,7.1226276243005184e-06,6.627811460789358e-06,1.4889026864543971e-05,2315
scm,gformula,oulad,5,5,low,1,0.5632783770561218,0.5636369585990906,0.5635808706283569,0.5634215474128723,0.5630921721458435,0.563054621219635,0.563034176826477,0.5633920431137085,0.5633531212806702,0.5631974339485168,0.5628726482391357,0.5628239512443542,0.5635263323783875,0.5638915300369263,0.5638350248336792,0.5636880397796631,0.5633089542388916,0.5632666945457458,0.9854941822069574,0.9853191240924651,0.9860590620751193,0.9856668100770019,0.9848914040944547,0.985859142122312,2.0048551559862563e-05,4.765542538699936e-06,8.820732790231307e-06,5.958676689711333e-06,7.597855171474305e-06,2.416015563506995e-05,2315
