model,dataset,policy,horizon,dr_value,dm_value,correction,w_mean,w_max,supported,skip_reason
scm_causal,irt_synth,never,29,0.6432415421586484,0.6444203853607178,-0.0011788432020694017,0.28635352849960327,10.0,1.0,
scm_causal,irt_synth,always,29,0.7986919092945755,0.8017279505729675,-0.0030360412783920765,0.23689085245132446,10.0,1.0,
scm_causal,irt_synth,early_on,29,0.6744330257643014,0.6767664551734924,-0.0023334294091910124,0.18385182321071625,10.0,1.0,
scm_causal,irt_synth,late_on,29,0.6757787435781211,0.6769838929176331,-0.0012051493395119905,0.28527018427848816,10.0,1.0,
rcgan,irt_synth,never,29,0.8082951568067074,0.8154280185699463,-0.007132861763238907,0.2862800061702728,10.0,1.0,
rcgan,irt_synth,always,29,0.6142215467989445,0.6279071569442749,-0.013685610145330429,0.23684778809547424,10.0,1.0,
rcgan,irt_synth,early_on,29,0.7742443578317761,0.7841381430625916,-0.00989378523081541,0.18381725251674652,10.0,1.0,
rcgan,irt_synth,late_on,29,0.7903209975920618,0.797488808631897,-0.007167811039835215,0.2851966917514801,10.0,1.0,
vae,irt_synth,never,29,0.7910939110442996,0.7888787388801575,0.002215172164142132,0.286356657743454,10.0,1.0,
vae,irt_synth,always,29,0.6028514005010948,0.6039063334465027,-0.001054932945407927,0.23664990067481995,10.0,1.0,
vae,irt_synth,early_on,29,0.7432149185915478,0.7438192963600159,-0.0006043777684681118,0.18359287083148956,10.0,1.0,
vae,irt_synth,late_on,29,0.7861016720999032,0.7839149236679077,0.002186748431995511,0.28527331352233887,10.0,1.0,
diffusion,irt_synth,never,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,irt_synth,always,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,irt_synth,early_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,irt_synth,late_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,irt_synth,never,29,0.7683519525453448,0.7590500116348267,0.00930194091051817,0.2864437401294708,10.0,1.0,
crn,irt_synth,always,29,0.5995119157014415,0.6008742451667786,-0.0013623294653370976,0.23681387305259705,10.0,1.0,
crn,irt_synth,early_on,29,0.7207524686809847,0.7207666635513306,-1.4194870345818345e-05,0.1837470680475235,10.0,1.0,
crn,irt_synth,late_on,29,0.7718472350388765,0.762587308883667,0.009259926155209541,0.2853604257106781,10.0,1.0,
timegan,irt_synth,never,29,0.5479627163149416,0.5551227331161499,-0.007160016801208258,0.28646573424339294,10.0,1.0,
timegan,irt_synth,always,29,0.6177073456346989,0.6659772396087646,-0.04826989397406578,0.2367876172065735,10.0,1.0,
timegan,irt_synth,early_on,29,0.5248072184622288,0.5663897395133972,-0.04158252105116844,0.1837337613105774,10.0,1.0,
timegan,irt_synth,late_on,29,0.572861653752625,0.5804250836372375,-0.00756342988461256,0.28538239002227783,10.0,1.0,
