model,dataset,policy,horizon,dr_value,dm_value,correction,w_mean,w_max,supported,skip_reason
scm_causal,assist09,never,29,0.9548534452915192,0.8916313648223877,0.06322208046913147,0.8244122266769409,10.0,1.0,
scm_causal,assist09,always,29,0.0450292294844985,0.049592699855566025,-0.004563470371067524,0.24655936658382416,10.0,1.0,
scm_causal,assist09,early_on,29,0.6584649553988129,0.6607072353363037,-0.002242279937490821,0.17043320834636688,10.0,1.0,
scm_causal,assist09,late_on,29,0.8431947082281113,0.7763665914535522,0.06682811677455902,0.7358860969543457,10.0,1.0,
rcgan,assist09,never,29,0.802098298445344,0.7787606120109558,0.02333768643438816,0.8212428689002991,10.0,1.0,
rcgan,assist09,always,29,0.06422088667750359,0.07871655374765396,-0.014495667070150375,0.2463454157114029,10.0,1.0,
rcgan,assist09,early_on,29,0.5520195569843054,0.5605449080467224,-0.00852535106241703,0.17020979523658752,10.0,1.0,
rcgan,assist09,late_on,29,0.7334903283044696,0.7224193811416626,0.011070947162806988,0.7330272197723389,10.0,1.0,
vae,assist09,never,29,0.784563307184726,0.7817145586013794,0.0028487485833466053,0.8216286897659302,10.0,1.0,
vae,assist09,always,29,0.0012919003202114254,0.0017094339709728956,-0.0004175336507614702,0.24511101841926575,10.0,1.0,
vae,assist09,early_on,29,0.5221408056095243,0.5228371620178223,-0.0006963564082980156,0.16899393498897552,10.0,1.0,
vae,assist09,late_on,29,0.6802728711627424,0.6754400730133057,0.004832798149436712,0.7341564297676086,10.0,1.0,
diffusion,assist09,never,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,assist09,always,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,assist09,early_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,assist09,late_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,assist09,never,29,0.7814948698505759,0.7723459601402283,0.009148909710347652,0.8202452063560486,10.0,1.0,
crn,assist09,always,29,0.0023970032343640924,0.00302334176376462,-0.0006263385294005275,0.24533569812774658,10.0,1.0,
crn,assist09,early_on,29,0.5454778596758842,0.5479623079299927,-0.002484448254108429,0.16922397911548615,10.0,1.0,
crn,assist09,late_on,29,0.6781529765576124,0.6687193512916565,0.009433625265955925,0.7321769595146179,10.0,1.0,
timegan,assist09,never,29,0.7569495141506195,0.7264388203620911,0.030510693788528442,0.8193801045417786,10.0,1.0,
timegan,assist09,always,29,0.024442599155008793,0.03030620701611042,-0.005863607861101627,0.24555587768554688,10.0,1.0,
timegan,assist09,early_on,29,0.516416585072875,0.5216377973556519,-0.005221212282776833,0.16941463947296143,10.0,1.0,
timegan,assist09,late_on,29,0.6613803580403328,0.6334730982780457,0.02790725976228714,0.7316167950630188,10.0,1.0,
