model,dataset,policy,horizon,dr_value,dm_value,correction,w_mean,w_max,supported,skip_reason
scm_causal,oulad,never,29,0.6216513505205512,0.6287935376167297,-0.007142187096178532,0.3245904743671417,10.0,1.0,
scm_causal,oulad,always,29,0.7661036532372236,0.7422139048576355,0.023889748379588127,0.47691285610198975,10.0,1.0,
scm_causal,oulad,early_on,29,0.6540576508268714,0.6597892642021179,-0.005731613375246525,0.19646239280700684,10.0,1.0,
scm_causal,oulad,late_on,29,0.6295574973337352,0.6360750794410706,-0.006517582107335329,0.29020532965660095,10.0,1.0,
rcgan,oulad,never,29,0.5208955332636833,0.4894585609436035,0.0314369723200798,0.32432428002357483,10.0,1.0,
rcgan,oulad,always,29,0.6631232425570488,0.5687902569770813,0.0943329855799675,0.476862370967865,10.0,1.0,
rcgan,oulad,early_on,29,0.5660080797970295,0.5314496755599976,0.03455840423703194,0.19649288058280945,10.0,1.0,
rcgan,oulad,late_on,29,0.5157919526100159,0.48870107531547546,0.027090877294540405,0.29007282853126526,10.0,1.0,
vae,oulad,never,29,0.4604950285720406,0.4603092074394226,0.0001858211326180026,0.3232811391353607,10.0,1.0,
vae,oulad,always,29,0.8013550566975027,0.8028625249862671,-0.0015074682887643576,0.4765103757381439,10.0,1.0,
vae,oulad,early_on,29,0.5631946276407689,0.5637091994285583,-0.000514571787789464,0.19632962346076965,10.0,1.0,
vae,oulad,late_on,29,0.5141854581888765,0.514966607093811,-0.0007811489049345255,0.2892340123653412,10.0,1.0,
diffusion,oulad,never,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,oulad,always,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,oulad,early_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,oulad,late_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,oulad,never,29,0.5100085050798953,0.5157971978187561,-0.0057886927388608456,0.3240414261817932,10.0,1.0,
crn,oulad,always,29,0.8092746781185269,0.8081936240196228,0.0010810540989041328,0.4763469099998474,10.0,1.0,
crn,oulad,early_on,29,0.5834357844432816,0.5823126435279846,0.0011231409152969718,0.19612795114517212,10.0,1.0,
crn,oulad,late_on,29,0.5593037689104676,0.5649917125701904,-0.005687943659722805,0.28990378975868225,10.0,1.0,
timegan,oulad,never,29,0.49760893965139985,0.5009157061576843,-0.0033067665062844753,0.32442882657051086,10.0,1.0,
timegan,oulad,always,29,0.816132565960288,0.8104039430618286,0.0057286228984594345,0.47745952010154724,10.0,1.0,
timegan,oulad,early_on,29,0.5779487621039152,0.5733340382575989,0.004614723846316338,0.1966964602470398,10.0,1.0,
timegan,oulad,late_on,29,0.5496112043038011,0.5527603030204773,-0.003149098716676235,0.29030969738960266,10.0,1.0,
