model,dataset,policy,horizon,dr_value,dm_value,correction,w_mean,w_max,supported,skip_reason
scm_causal,statics,never,29,,,,6.611401081085205,10.0,0.0,weight_mean_exceeds_threshold
scm_causal,statics,always,29,0.7919031796045601,0.7939570546150208,-0.002053875010460615,0.0035812431015074253,3.6327664852142334,1.0,
scm_causal,statics,early_on,29,0.884696286637336,0.8867501616477966,-0.002053875010460615,0.0035812431015074253,3.6327664852142334,1.0,
scm_causal,statics,late_on,29,1.0613236725330353,0.90029376745224,0.1610299050807953,4.821657657623291,10.0,1.0,
rcgan,statics,never,29,,,,6.589232444763184,10.0,0.0,weight_mean_exceeds_threshold
rcgan,statics,always,29,0.431187430920545,0.43126171827316284,-7.428735261783004e-05,0.0034451112151145935,3.6478264331817627,1.0,
rcgan,statics,early_on,29,0.8197864094399847,0.8198606967926025,-7.428735261783004e-05,0.0034451112151145935,3.6478264331817627,1.0,
rcgan,statics,late_on,29,0.5675899088382721,0.9023157954216003,-0.33472588658332825,4.7994890213012695,10.0,1.0,
vae,statics,never,29,,,,6.5757598876953125,10.0,0.0,weight_mean_exceeds_threshold
vae,statics,always,29,0.5885256278561428,0.5901846885681152,-0.0016590607119724154,0.00362602062523365,3.713090181350708,1.0,
vae,statics,early_on,29,0.8138231384800747,0.8154821991920471,-0.0016590607119724154,0.00362602062523365,3.713090181350708,1.0,
vae,statics,late_on,29,0.9050551354885101,0.7991876006126404,0.10586753487586975,4.786016464233398,10.0,1.0,
diffusion,statics,never,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,statics,always,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,statics,early_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
diffusion,statics,late_on,29,,,,,,0.0,factual_pred_failed: unsupported model for factual DR: diffusion
crn,statics,never,29,,,,6.588359355926514,10.0,0.0,weight_mean_exceeds_threshold
crn,statics,always,29,0.5232708406401798,0.5243982076644897,-0.0011273670243099332,0.003374039428308606,3.5425267219543457,1.0,
crn,statics,early_on,29,0.7889324974967167,0.7900598645210266,-0.0011273670243099332,0.003374039428308606,3.5425267219543457,1.0,
crn,statics,late_on,29,0.8793963044881821,0.7886623740196228,0.09073393046855927,4.798615455627441,10.0,1.0,
timegan,statics,never,29,,,,6.579076290130615,10.0,0.0,weight_mean_exceeds_threshold
timegan,statics,always,29,0.8189363421406597,0.82161945104599,-0.0026831089053303003,0.0035141203552484512,3.5329887866973877,1.0,
timegan,statics,early_on,29,0.8753895105328411,0.8780726194381714,-0.0026831089053303003,0.0035141203552484512,3.5329887866973877,1.0,
timegan,statics,late_on,29,0.7391966283321381,0.8777608275413513,-0.13856419920921326,4.789332866668701,10.0,1.0,
