model,dataset,t0,subgroup,horizon,pehe,ite_rmse,ate_true,ate_hat,ate_abs_error,ate_rmse,n_effective,tau_true_mean,tau_hat_mean,n_gen,supported,skip_reason
scm_causal,irt_synth,0,high,29,0.010734077543020248,0.010734077543020248,0.01161887776106596,0.00643741711974144,0.00518146064132452,0.030650518834590912,2000,0.01161887776106596,0.00643741711974144,20,True,
scm_causal,irt_synth,5,high,24,0.010914823040366173,0.010914823040366173,0.01223025657236576,0.0064245485700666904,0.00580570800229907,0.02719767577946186,2000,0.01223025657236576,0.0064245485700666904,20,True,
scm_causal,irt_synth,10,high,19,0.011877913028001785,0.011877913028001785,0.01492491364479065,0.00784368347376585,0.007081230171024799,0.029660673812031746,2000,0.01492491364479065,0.00784368347376585,20,True,
rcgan,irt_synth,0,high,29,0.01788722351193428,0.01788722351193428,0.01161887776106596,-0.003036151872947812,0.014655029634013772,0.03216655179858208,2000,0.01161887776106596,-0.003036151872947812,20,True,
rcgan,irt_synth,5,high,24,0.02209579385817051,0.02209579385817051,0.01223025657236576,-0.007253694348037243,0.019483950920403004,0.04183967038989067,2000,0.01223025657236576,-0.007253694348037243,20,True,
rcgan,irt_synth,10,high,19,0.028827307745814323,0.028827307745814323,0.01492491364479065,-0.011595294810831547,0.026520208455622196,0.04936883598566055,2000,0.01492491364479065,-0.011595294810831547,20,True,
vae,irt_synth,0,high,29,0.021986104547977448,0.021986104547977448,0.01161887776106596,-0.007413448300212622,0.01903232606127858,0.03772861883044243,2000,0.01161887776106596,-0.007413448300212622,20,True,
vae,irt_synth,5,high,24,0.024525795131921768,0.024525795131921768,0.01223025657236576,-0.009657171554863453,0.021887428127229214,0.03873615711927414,2000,0.01223025657236576,-0.009657171554863453,20,True,
vae,irt_synth,10,high,19,0.029333923012018204,0.029333923012018204,0.01492491364479065,-0.012027498334646225,0.026952411979436874,0.04320549964904785,2000,0.01492491364479065,-0.012027498334646225,20,True,
diffusion,irt_synth,0,high,29,0.041095998138189316,0.041095998138189316,0.01161887776106596,-0.010643592104315758,0.022262469865381718,0.04772911220788956,2000,0.01161887776106596,-0.010643592104315758,20,True,
diffusion,irt_synth,5,high,24,0.041581522673368454,0.041581522673368454,0.01223025657236576,-0.007760224398225546,0.019990480970591307,0.04215839132666588,2000,0.01223025657236576,-0.007760224398225546,20,True,
diffusion,irt_synth,10,high,19,0.04535568878054619,0.04535568878054619,0.01492491364479065,-0.006198130548000336,0.021123044192790985,0.04561096429824829,2000,0.01492491364479065,-0.006198130548000336,20,True,
crn,irt_synth,0,high,29,0.0195095706731081,0.0195095706731081,0.01161887776106596,-0.004941810388118029,0.01656068814918399,0.0344809889793396,2000,0.01161887776106596,-0.004941810388118029,20,True,
crn,irt_synth,5,high,24,0.024201510474085808,0.024201510474085808,0.01223025657236576,-0.00933726504445076,0.02156752161681652,0.03668353334069252,2000,0.01223025657236576,-0.00933726504445076,20,True,
crn,irt_synth,10,high,19,0.02792530693113804,0.02792530693113804,0.01492491364479065,-0.01054343581199646,0.02546834945678711,0.03977715224027634,2000,0.01492491364479065,-0.01054343581199646,20,True,
timegan,irt_synth,0,high,29,0.013813931494951248,0.013813931494951248,0.01161887776106596,0.0014375181635841727,0.010181359597481787,0.05981256067752838,2000,0.01161887776106596,0.0014375181635841727,20,True,
timegan,irt_synth,5,high,24,0.012286956422030926,0.012286956422030926,0.01223025657236576,0.0038652396760880947,0.008365016896277666,0.038686346262693405,2000,0.01223025657236576,0.0038652396760880947,20,True,
timegan,irt_synth,10,high,19,0.012911957688629627,0.012911957688629627,0.01492491364479065,0.006187377963215113,0.008737535681575537,0.036472298204898834,2000,0.01492491364479065,0.006187377963215113,20,True,
