model,dataset,t0,subgroup,horizon,pehe,ite_rmse,ate_true,ate_hat,ate_abs_error,ate_rmse,n_effective,tau_true_mean,tau_hat_mean,n_gen,supported,skip_reason
scm_causal,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,0,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,0,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,0,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,5,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,5,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,5,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,10,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,10,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,oulad,10,high,29,,,,,,,0,,,0,False,oracle_not_available
