model,dataset,t0,subgroup,horizon,pehe,ite_rmse,ate_true,ate_hat,ate_abs_error,ate_rmse,n_effective,tau_true_mean,tau_hat_mean,n_gen,supported,skip_reason
scm_causal,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
scm_causal,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
rcgan,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
vae,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
diffusion,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
crn,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,0,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,0,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,0,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,5,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,5,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,5,high,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,10,all,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,10,low,29,,,,,,,0,,,0,False,oracle_not_available
timegan,statics,10,high,29,,,,,,,0,,,0,False,oracle_not_available
