model,dataset,policy,horizon,oracle_value,gen_value,value_abs_error,regret_oracle,supported,skip_reason
scm_causal,irt_synth,never,29,0.5358523726463318,0.6444190740585327,0.10856670141220093,0.0,True,
scm_causal,irt_synth,always,29,0.8280481100082397,0.8017410039901733,0.026307106018066406,0.0,True,
scm_causal,irt_synth,early_on,29,0.6424326300621033,0.6767597198486328,0.03432708978652954,0.0,True,
scm_causal,irt_synth,late_on,29,0.7239493131637573,0.6769648194313049,0.04698449373245239,0.0,True,
rcgan,irt_synth,never,29,0.5358523726463318,0.8154311180114746,0.2795787453651428,0.29219573736190796,True,
rcgan,irt_synth,always,29,0.8280481100082397,0.6279565095901489,0.20009160041809082,0.29219573736190796,True,
rcgan,irt_synth,early_on,29,0.6424326300621033,0.7841979265213013,0.141765296459198,0.29219573736190796,True,
rcgan,irt_synth,late_on,29,0.7239493131637573,0.7974520325660706,0.07350271940231323,0.29219573736190796,True,
vae,irt_synth,never,29,0.5358523726463318,0.788856565952301,0.25300419330596924,0.29219573736190796,True,
vae,irt_synth,always,29,0.8280481100082397,0.6039759516716003,0.2240721583366394,0.29219573736190796,True,
vae,irt_synth,early_on,29,0.6424326300621033,0.7438067197799683,0.10137408971786499,0.29219573736190796,True,
vae,irt_synth,late_on,29,0.7239493131637573,0.7839339375495911,0.05998462438583374,0.29219573736190796,True,
diffusion,irt_synth,never,29,0.5358523726463318,,,,False,Diffusion does not support closed-loop policy rollouts.
diffusion,irt_synth,always,29,0.8280481100082397,,,,False,Diffusion does not support closed-loop policy rollouts.
diffusion,irt_synth,early_on,29,0.6424326300621033,,,,False,Diffusion does not support closed-loop policy rollouts.
diffusion,irt_synth,late_on,29,0.7239493131637573,,,,False,Diffusion does not support closed-loop policy rollouts.
crn,irt_synth,never,29,0.5358523726463318,0.7590500116348267,0.22319763898849487,0.10409879684448242,True,
crn,irt_synth,always,29,0.8280481100082397,0.6008742451667786,0.22717386484146118,0.10409879684448242,True,
crn,irt_synth,early_on,29,0.6424326300621033,0.7207666039466858,0.07833397388458252,0.10409879684448242,True,
crn,irt_synth,late_on,29,0.7239493131637573,0.762587308883667,0.03863799571990967,0.10409879684448242,True,
timegan,irt_synth,never,29,0.5358523726463318,0.5551276803016663,0.019275307655334473,0.0,True,
timegan,irt_synth,always,29,0.8280481100082397,0.6659820675849915,0.1620660424232483,0.0,True,
timegan,irt_synth,early_on,29,0.6424326300621033,0.5663939714431763,0.076038658618927,0.0,True,
timegan,irt_synth,late_on,29,0.7239493131637573,0.5804349780082703,0.14351433515548706,0.0,True,
