model,dataset,policy,horizon,oracle_value,gen_value,value_abs_error,regret_oracle,supported,skip_reason
scm_causal,assist09,never,29,,,,,False,oracle_not_available
scm_causal,assist09,always,29,,,,,False,oracle_not_available
scm_causal,assist09,early_on,29,,,,,False,oracle_not_available
scm_causal,assist09,late_on,29,,,,,False,oracle_not_available
rcgan,assist09,never,29,,,,,False,oracle_not_available
rcgan,assist09,always,29,,,,,False,oracle_not_available
rcgan,assist09,early_on,29,,,,,False,oracle_not_available
rcgan,assist09,late_on,29,,,,,False,oracle_not_available
vae,assist09,never,29,,,,,False,oracle_not_available
vae,assist09,always,29,,,,,False,oracle_not_available
vae,assist09,early_on,29,,,,,False,oracle_not_available
vae,assist09,late_on,29,,,,,False,oracle_not_available
diffusion,assist09,never,29,,,,,False,oracle_not_available
diffusion,assist09,always,29,,,,,False,oracle_not_available
diffusion,assist09,early_on,29,,,,,False,oracle_not_available
diffusion,assist09,late_on,29,,,,,False,oracle_not_available
crn,assist09,never,29,,,,,False,oracle_not_available
crn,assist09,always,29,,,,,False,oracle_not_available
crn,assist09,early_on,29,,,,,False,oracle_not_available
crn,assist09,late_on,29,,,,,False,oracle_not_available
timegan,assist09,never,29,,,,,False,oracle_not_available
timegan,assist09,always,29,,,,,False,oracle_not_available
timegan,assist09,early_on,29,,,,,False,oracle_not_available
timegan,assist09,late_on,29,,,,,False,oracle_not_available
