model,dataset,policy,horizon,oracle_value,gen_value,value_abs_error,regret_oracle,supported,skip_reason
scm_causal,oulad,never,29,,,,,False,oracle_not_available
scm_causal,oulad,always,29,,,,,False,oracle_not_available
scm_causal,oulad,early_on,29,,,,,False,oracle_not_available
scm_causal,oulad,late_on,29,,,,,False,oracle_not_available
rcgan,oulad,never,29,,,,,False,oracle_not_available
rcgan,oulad,always,29,,,,,False,oracle_not_available
rcgan,oulad,early_on,29,,,,,False,oracle_not_available
rcgan,oulad,late_on,29,,,,,False,oracle_not_available
vae,oulad,never,29,,,,,False,oracle_not_available
vae,oulad,always,29,,,,,False,oracle_not_available
vae,oulad,early_on,29,,,,,False,oracle_not_available
vae,oulad,late_on,29,,,,,False,oracle_not_available
diffusion,oulad,never,29,,,,,False,oracle_not_available
diffusion,oulad,always,29,,,,,False,oracle_not_available
diffusion,oulad,early_on,29,,,,,False,oracle_not_available
diffusion,oulad,late_on,29,,,,,False,oracle_not_available
crn,oulad,never,29,,,,,False,oracle_not_available
crn,oulad,always,29,,,,,False,oracle_not_available
crn,oulad,early_on,29,,,,,False,oracle_not_available
crn,oulad,late_on,29,,,,,False,oracle_not_available
timegan,oulad,never,29,,,,,False,oracle_not_available
timegan,oulad,always,29,,,,,False,oracle_not_available
timegan,oulad,early_on,29,,,,,False,oracle_not_available
timegan,oulad,late_on,29,,,,,False,oracle_not_available
