model,dataset,policy,horizon,oracle_value,gen_value,value_abs_error,regret_oracle,supported,skip_reason
scm_causal,statics,never,29,,,,,False,oracle_not_available
scm_causal,statics,always,29,,,,,False,oracle_not_available
scm_causal,statics,early_on,29,,,,,False,oracle_not_available
scm_causal,statics,late_on,29,,,,,False,oracle_not_available
rcgan,statics,never,29,,,,,False,oracle_not_available
rcgan,statics,always,29,,,,,False,oracle_not_available
rcgan,statics,early_on,29,,,,,False,oracle_not_available
rcgan,statics,late_on,29,,,,,False,oracle_not_available
vae,statics,never,29,,,,,False,oracle_not_available
vae,statics,always,29,,,,,False,oracle_not_available
vae,statics,early_on,29,,,,,False,oracle_not_available
vae,statics,late_on,29,,,,,False,oracle_not_available
diffusion,statics,never,29,,,,,False,oracle_not_available
diffusion,statics,always,29,,,,,False,oracle_not_available
diffusion,statics,early_on,29,,,,,False,oracle_not_available
diffusion,statics,late_on,29,,,,,False,oracle_not_available
crn,statics,never,29,,,,,False,oracle_not_available
crn,statics,always,29,,,,,False,oracle_not_available
crn,statics,early_on,29,,,,,False,oracle_not_available
crn,statics,late_on,29,,,,,False,oracle_not_available
timegan,statics,never,29,,,,,False,oracle_not_available
timegan,statics,always,29,,,,,False,oracle_not_available
timegan,statics,early_on,29,,,,,False,oracle_not_available
timegan,statics,late_on,29,,,,,False,oracle_not_available
