model,dataset,predictor,setting,auc,rmse,brier,ece,n_train,n_test
scm_causal,assist09,logreg,TRTS,0.8428874466608668,0.3625301929130098,0.13142814077354412,0.008707379339980743,3082,770
scm_causal,assist09,logreg,TSTR,0.8266092827107229,0.37694782152160317,0.1420896601498824,0.06802382130518614,2048,770
scm_causal,assist09,mlp,TRTS,0.4599678522602181,0.49269188532322716,0.24274529386335603,0.09708848072324444,3082,770
scm_causal,assist09,mlp,TSTR,0.6317576834984553,0.48498680605631656,0.2352122020487072,0.11224461692102045,2048,770
scm_causal,assist09,sakt,TRTS,0.6135577756767634,0.4796463324055615,0.23006060419010638,0.04703608041184046,3082,770
scm_causal,assist09,sakt,TSTR,0.6761845948297291,0.4635464448064678,0.21487530649271566,0.03625717154305561,2048,770
rcgan,assist09,logreg,TRTS,0.8422808157410366,0.3795598916048819,0.1440657113151097,0.09789541150836517,3082,770
rcgan,assist09,logreg,TSTR,0.824944968588355,0.37242873688376643,0.13870316405683772,0.031668199738322245,2048,770
rcgan,assist09,mlp,TRTS,0.7516881539777234,0.4607544622375562,0.2122946744718196,0.14961840921830902,3082,770
rcgan,assist09,mlp,TSTR,0.5979254609655198,0.4799307264733382,0.23033350221322613,0.03786493540515746,2048,770
rcgan,assist09,sakt,TRTS,0.6989835787969177,0.5118302806342111,0.2619702361740953,0.20568939673027273,3082,770
rcgan,assist09,sakt,TSTR,0.7138656963531125,0.4756895837569429,0.22628058009485363,0.10650495009862573,2048,770
vae,assist09,logreg,TRTS,0.8430464653391806,0.3640167534683936,0.13250819680566922,0.030323369774105394,3082,770
vae,assist09,logreg,TSTR,0.833256219076619,0.36829942089155837,0.13564446342905728,0.026900629452671927,2048,770
vae,assist09,mlp,TRTS,0.5397955339387807,0.4839131413652158,0.2341719283859513,0.03793205313779455,3082,770
vae,assist09,mlp,TSTR,0.7621954546328846,0.453697740387326,0.2058416396325655,0.13858543725432682,2048,770
vae,assist09,sakt,TRTS,0.6296650195157605,0.4829198161784887,0.23321154885786533,0.07654444561120036,3082,770
vae,assist09,sakt,TSTR,0.6446145045452931,0.4955143700476364,0.24553449092370594,0.13913338348871157,2048,770
diffusion,assist09,logreg,TRTS,0.8428949370731389,0.36302049425202354,0.13178387924698345,0.016059783557549532,3082,770
diffusion,assist09,logreg,TSTR,0.8267629378839529,0.4403670964198399,0.19392317960924055,0.2197404626793073,2048,770
diffusion,assist09,mlp,TRTS,0.7153274271894938,0.4682673182329171,0.2192742813250481,0.13363456572025645,3082,770
diffusion,assist09,mlp,TSTR,0.4938594894830913,0.5191902255585178,0.26955849031550455,0.1852182259759385,2048,770
diffusion,assist09,sakt,TRTS,0.7452782660416888,0.49560107726712666,0.24562042778833643,0.26937545074058583,3082,770
diffusion,assist09,sakt,TSTR,0.6163194999289798,0.48016877978376543,0.23056205707903024,0.04124458467162284,2048,770
crn,assist09,logreg,TRTS,0.8427518886935834,0.3638408897926133,0.1323801930850806,0.026528939110092728,3082,770
crn,assist09,logreg,TSTR,0.8287129233839945,0.36838555596721184,0.13570791784527178,0.011544898939980466,2048,770
crn,assist09,mlp,TRTS,0.5917676207787365,0.4878818393017493,0.2380286891204579,0.09506414046722485,3082,770
crn,assist09,mlp,TSTR,0.681979233248109,0.4795622202314609,0.2299799230733282,0.08064037225292837,2048,770
crn,assist09,sakt,TRTS,0.6939326735852183,0.4776609224283078,0.2281599568150619,0.13464911511567457,3082,770
crn,assist09,sakt,TSTR,0.706761502683972,0.5080746556186935,0.25813985568205394,0.2219685775977631,2048,770
timegan,assist09,logreg,TRTS,0.8429282092995041,0.36246565827270666,0.13138135342706656,0.01321644878063729,3082,770
timegan,assist09,logreg,TSTR,0.8222185879851569,0.37025261562990947,0.1370869993807895,0.021400138165193275,2048,770
timegan,assist09,mlp,TRTS,0.6506580743315222,0.47872221557148165,0.22917495968166815,0.13668306002166264,3082,770
timegan,assist09,mlp,TSTR,0.53695514186286,0.4871596578989574,0.2373245322842292,0.06771463847397098,2048,770
timegan,assist09,sakt,TRTS,0.6282285341429638,0.4889423971920146,0.23906466777187374,0.11253719655844657,3082,770
timegan,assist09,sakt,TSTR,0.716461993463182,0.4984885375392984,0.2484908220580685,0.2135649399478373,2048,770
