model,dataset,predictor,setting,auc,rmse,brier,ece,n_train,n_test
scm_causal,irt_synth,logreg,TRTS,0.6547999629290872,0.44141152829422026,0.19484413731103922,0.008586156135628856,16000,4000
scm_causal,irt_synth,logreg,TSTR,0.6371526122944703,0.4442353928653063,0.19734508427419303,0.006280706575355939,2048,4000
scm_causal,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
scm_causal,irt_synth,mlp,TSTR,0.5203317739511345,0.47876059546819905,0.22921170777306454,0.14580320837969582,2048,4000
scm_causal,irt_synth,sakt,TRTS,0.5210008276531206,0.46393619710787176,0.21523679498691406,0.08916178705890972,16000,4000
scm_causal,irt_synth,sakt,TSTR,0.5058437143102416,0.456469774873653,0.20836465537320345,0.025382371891041634,2048,4000
rcgan,irt_synth,logreg,TRTS,0.6545781052392853,0.4414392424595648,0.19486860478327445,0.012983892789345298,16000,4000
rcgan,irt_synth,logreg,TSTR,0.6382651224542193,0.44507354048827213,0.1980904564427656,0.027681208081407595,2048,4000
rcgan,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
rcgan,irt_synth,mlp,TSTR,0.5191471064418639,0.47878489975052796,0.2292349802291231,0.14566610867256927,2048,4000
rcgan,irt_synth,sakt,TRTS,0.5179323638301861,0.46405633502085814,0.21534828207299095,0.08927339642991626,16000,4000
rcgan,irt_synth,sakt,TSTR,0.5040756863534552,0.45599388688067605,0.2079304248725468,0.016918520339329994,2048,4000
vae,irt_synth,logreg,TRTS,0.6539245788139755,0.4417284816563026,0.19512405150638243,0.013258270523900549,16000,4000
vae,irt_synth,logreg,TSTR,0.6322967743501335,0.44452423582800604,0.19760179623847274,0.005649501500484814,2048,4000
vae,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
vae,irt_synth,mlp,TSTR,0.5203883365737522,0.47875932394633375,0.22921049026555054,0.14587333229581514,2048,4000
vae,irt_synth,sakt,TRTS,0.5169620188328272,0.4640235112305045,0.21531781897468616,0.08898914743165175,16000,4000
vae,irt_synth,sakt,TSTR,0.5066382481976356,0.4599313013385209,0.21153680195094532,0.060483547737697735,2048,4000
diffusion,irt_synth,logreg,TRTS,0.6557030573717585,0.44135766635445134,0.19479658964984717,0.010025237615710053,16000,4000
diffusion,irt_synth,logreg,TSTR,0.6247721928402914,0.5063021865135842,0.2563419040684362,0.23891996598078688,2048,4000
diffusion,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
diffusion,irt_synth,mlp,TSTR,0.5443282796022239,0.501310017030027,0.25131173317464595,0.21185953536430993,2048,4000
diffusion,irt_synth,sakt,TRTS,0.5189389076741753,0.46392301476139924,0.21522456362530545,0.08879492402672774,16000,4000
diffusion,irt_synth,sakt,TSTR,0.5086662997938889,0.5083324575212176,0.25840188736956043,0.22357148452177644,2048,4000
crn,irt_synth,logreg,TRTS,0.6551155802845547,0.4413404877185105,0.19478142609961271,0.010270482745368462,16000,4000
crn,irt_synth,logreg,TSTR,0.6381285375847157,0.44398641182961457,0.1971239338893361,0.013967463515591985,2048,4000
crn,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
crn,irt_synth,mlp,TSTR,0.5209169624169733,0.4787721642250558,0.2292227852367438,0.14609772834057608,2048,4000
crn,irt_synth,sakt,TRTS,0.5195472516524626,0.46397737625257124,0.21527500567422006,0.08915170375059042,16000,4000
crn,irt_synth,sakt,TSTR,0.5050754091885873,0.46200482725865455,0.21344846041029922,0.07363227377682922,2048,4000
timegan,irt_synth,logreg,TRTS,0.6525377567803505,0.4421144099589188,0.19546515149332294,0.012402364441550674,16000,4000
timegan,irt_synth,logreg,TSTR,0.6432160427916346,0.4553624940094741,0.20735500095052833,0.10252240653154612,2048,4000
timegan,irt_synth,mlp,TRTS,0.49893403166878014,0.49111703979368354,0.24119594677571055,0.1761290586215754,16000,4000
timegan,irt_synth,mlp,TSTR,0.5310072121636049,0.47942482109290174,0.22984815907996084,0.15046953687220813,2048,4000
timegan,irt_synth,sakt,TRTS,0.5179323638301861,0.46405633502085814,0.21534828207299095,0.08927339642991626,16000,4000
timegan,irt_synth,sakt,TSTR,0.5002669395472791,0.562728901823425,0.316663816947398,0.3191386318627745,2048,4000
