model,dataset,predictor,setting,auc,rmse,brier,ece,n_train,n_test
scm_causal,oulad,logreg,TRTS,0.8724529130318635,0.33878912250034654,0.11477806952455483,0.00834766607491903,19281,4820
scm_causal,oulad,logreg,TSTR,0.8001148390007636,0.36124104351024444,0.13049509151637032,0.03941934732946993,2048,4820
scm_causal,oulad,mlp,TRTS,0.6812405320294077,0.4569015128298011,0.20875899242616094,0.2646981301833823,19281,4820
scm_causal,oulad,mlp,TSTR,0.7777673429821905,0.46668820398316824,0.21779787973703524,0.27235716305015706,2048,4820
scm_causal,oulad,sakt,TRTS,0.7991457602775457,0.3651498621834771,0.13333442185261232,0.03876919066592843,19281,4820
scm_causal,oulad,sakt,TSTR,0.6833607473111787,0.45067812026131443,0.20311076808227177,0.0891203177455889,2048,4820
rcgan,oulad,logreg,TRTS,0.8725247586923403,0.3388931866035486,0.11484859192630761,0.009853373610606798,19281,4820
rcgan,oulad,logreg,TSTR,0.7862850480447705,0.44623104915108763,0.1991221492264804,0.23442587654547756,2048,4820
rcgan,oulad,mlp,TRTS,0.7543809819090888,0.46634388590006637,0.21747661991637413,0.23169463600791587,19281,4820
rcgan,oulad,mlp,TSTR,0.7643446237971829,0.461134019922305,0.2126445843297048,0.2407821878927313,2048,4820
rcgan,oulad,sakt,TRTS,0.7687247876636635,0.4567806975006127,0.20864860560914625,0.18630216948083647,19281,4820
rcgan,oulad,sakt,TSTR,0.6866733614515177,0.5756600975799622,0.3313845479457716,0.37163966254063696,2048,4820
vae,oulad,logreg,TRTS,0.8724128845978951,0.33916797795406334,0.11503491726944798,0.016339981949014357,19281,4820
vae,oulad,logreg,TSTR,0.8691624241064165,0.34061321577201453,0.11601736275855293,0.02017541254412439,2048,4820
vae,oulad,mlp,TRTS,0.806479033224411,0.49042125300505973,0.2405130053990528,0.20256315444325929,19281,4820
vae,oulad,mlp,TSTR,0.7568442728276343,0.4863563731882589,0.23654252174083698,0.19095933771536946,2048,4820
vae,oulad,sakt,TRTS,0.7205236428838718,0.4461529735430992,0.19905247580134938,0.0685603473533219,19281,4820
vae,oulad,sakt,TSTR,0.7772537453812164,0.4293767417521127,0.18436438635766048,0.1537203176470294,2048,4820
diffusion,oulad,logreg,TRTS,0.8722836676703568,0.338834830232986,0.11480904217901644,0.009557647757473135,19281,4820
diffusion,oulad,logreg,TSTR,0.8655836334950566,0.4168549675624915,0.17376806398152583,0.21651762061727906,2048,4820
diffusion,oulad,mlp,TRTS,0.6616474664110097,0.4713889045135324,0.22220749929846814,0.18094146215396076,19281,4820
diffusion,oulad,mlp,TSTR,0.7954090166731266,0.4747610193216672,0.22539802546734847,0.2681610167680695,2048,4820
diffusion,oulad,sakt,TRTS,0.7827293980215319,0.4534380353567066,0.20560605190814993,0.2674145543510688,19281,4820
diffusion,oulad,sakt,TSTR,0.7567752714214667,0.5244985894013052,0.275098770283959,0.32759392406418464,2048,4820
crn,oulad,logreg,TRTS,0.872255310050887,0.3388653786297911,0.11482974483391169,0.007060918204588445,19281,4820
crn,oulad,logreg,TSTR,0.8690865144795205,0.3408977889636128,0.11621130252027988,0.024683298299010798,2048,4820
crn,oulad,mlp,TRTS,0.7556488337583046,0.4624234738720162,0.21383546918786328,0.24036885252455484,19281,4820
crn,oulad,mlp,TSTR,0.6507644108662849,0.49215020554289113,0.24221182481590997,0.19317783711278533,2048,4820
crn,oulad,sakt,TRTS,0.7837465709991327,0.45127157724858613,0.20364603643242665,0.22136916275840868,19281,4820
crn,oulad,sakt,TSTR,0.7438285288095547,0.45326252135411116,0.20544691326428607,0.17172895120133666,2048,4820
timegan,oulad,logreg,TRTS,0.8723420855042759,0.338757875380126,0.11475689813205694,0.008246238176048526,19281,4820
timegan,oulad,logreg,TSTR,0.8695055229666417,0.3414410309831233,0.11658197763881815,0.02973204320323027,2048,4820
timegan,oulad,mlp,TRTS,0.7975238845149419,0.4385320475621234,0.19231035673902844,0.2396447713895646,19281,4820
timegan,oulad,mlp,TSTR,0.7907760104438797,0.443632334053916,0.19680964781812532,0.21280410318744797,2048,4820
timegan,oulad,sakt,TRTS,0.7678685193934213,0.4388266503331286,0.19256882904259393,0.20572405477486103,19281,4820
timegan,oulad,sakt,TSTR,0.7784731961241859,0.4420620784010532,0.1954188811602589,0.1844933941772436,2048,4820
