model,dataset,predictor,setting,auc,rmse,brier,ece,n_train,n_test
scm_causal,statics,logreg,TRTS,0.8371775596906488,0.2889910630450262,0.0835158345198943,0.019380440182962654,267,66
scm_causal,statics,logreg,TSTR,0.814732969183231,0.3215057783732503,0.10336596552738954,0.08419365990231747,267,66
scm_causal,statics,mlp,TRTS,0.6170002190944599,0.38099200916454024,0.14515491104723313,0.2053223565144416,267,66
scm_causal,statics,mlp,TSTR,0.5804189992671669,0.3703195501785189,0.1371365692444206,0.18268636342806693,267,66
scm_causal,statics,sakt,TRTS,0.516246987451176,0.32803798650336335,0.10760892058918078,0.056686560190641,267,66
scm_causal,statics,sakt,TSTR,0.5770003701940875,0.3252646675029924,0.10579710392583219,0.04249706659561557,267,66
rcgan,statics,logreg,TRTS,0.8602857293956769,0.2884718460709254,0.08321600597556769,0.03851525379564617,267,66
rcgan,statics,logreg,TSTR,0.7850746306243689,0.30208707626555636,0.09125660164667206,0.05760507393760643,267,66
rcgan,statics,mlp,TRTS,0.6316568829657836,0.4264230270956784,0.18183659803744168,0.2821384775944245,267,66
rcgan,statics,mlp,TSTR,0.5229583292410518,0.3661833911658437,0.1340902759657173,0.1709105288371061,267,66
rcgan,statics,sakt,TRTS,0.484693607730257,0.33012808668243376,0.10898455361660449,0.06684490344463256,267,66
rcgan,statics,sakt,TSTR,0.5104523167350392,0.3358050765427861,0.11276504943190642,0.09148507686761709,267,66
vae,statics,logreg,TRTS,0.836756999060664,0.29988991234785006,0.08993395952800119,0.05962661524585876,267,66
vae,statics,logreg,TSTR,0.8143829217127646,0.296282757554195,0.08778347242391789,0.020712148221352616,267,66
vae,statics,mlp,TRTS,0.6228364422081699,0.381355536753994,0.14543204541292684,0.207649798362683,267,66
vae,statics,mlp,TSTR,0.5220781739106346,0.40305917807313674,0.16245670102899257,0.2395636546000455,267,66
vae,statics,sakt,TRTS,0.5398688958898383,0.3319748028430343,0.11020726972267152,0.07661665733043965,267,66
vae,statics,sakt,TSTR,0.553863239727114,0.3253883088036204,0.10587755150608025,0.040585306516060515,267,66
diffusion,statics,logreg,TRTS,0.8636678427254344,0.2844421160895122,0.08090731740547953,0.024486612546901283,267,66
diffusion,statics,logreg,TSTR,0.7901742430538242,0.38814292530234473,0.15065493046226155,0.24409248932227637,267,66
diffusion,statics,mlp,TRTS,0.5130890052356021,0.3808767635132174,0.14506710898430333,0.1970025187577957,267,66
diffusion,statics,mlp,TSTR,0.5154033478640809,0.4974526437427943,0.24745913276669543,0.376451174570964,267,66
diffusion,statics,sakt,TRTS,0.510886728164215,0.3248283402734831,0.10551345064482573,0.03491888935749352,267,66
diffusion,statics,sakt,TSTR,0.6220091717473917,0.6526555553731856,0.42595927395948135,0.568557985875851,267,66
crn,statics,logreg,TRTS,0.8597115508110272,0.3062897004796757,0.09381338061992944,0.09014515397134917,267,66
crn,statics,logreg,TSTR,0.767078664984424,0.31171117124869857,0.0971638542812355,0.06277738463686436,267,66
crn,statics,mlp,TRTS,0.6269047996796687,0.3512242451212152,0.12335847036096745,0.14453101613582706,267,66
crn,statics,mlp,TSTR,0.6140991062457031,0.43806947700490834,0.19190486668335394,0.29770680430607915,267,66
crn,statics,sakt,TRTS,0.5411532427239234,0.330548573962943,0.10926235974893521,0.07032059956819592,267,66
crn,statics,sakt,TSTR,0.5633661471357807,0.32834082216899513,0.10780769550261168,0.059895912836759546,267,66
timegan,statics,logreg,TRTS,0.8469587422467004,0.3468224855115607,0.12028583645641674,0.156048384170627,267,66
timegan,statics,logreg,TSTR,0.571094893084422,0.32421212965565055,0.10511350501585237,0.04292997224912912,267,66
timegan,statics,mlp,TRTS,0.5586102863589775,0.405952837902337,0.16479770660096107,0.2447970424248622,267,66
timegan,statics,mlp,TSTR,0.555016633550665,0.3936927576553796,0.15499398743029744,0.22511413757617657,267,66
timegan,statics,sakt,TRTS,0.5478834719672416,0.33042794777616763,0.10918262867156975,0.06975485923962721,267,66
timegan,statics,sakt,TSTR,0.5439007376180152,0.3309820143163248,0.10954909380089181,0.07253009435458069,267,66
